Cargo,Cargo_CHEBI_label,Cargo_CHEBI_id,exact_curie,biosyn_curie,rag_curie
FAM-labelled at C terminus,fluorescein isothiocyanate,CHEBI:37926,,CHEBI:194758,CHEBI:37912
FITC dye and Methotrexate (MTX),methotrexate,CHEBI:44185,CHEBI:37926,CHEBI:37926,CHEBI:37926
"FITC, GFP, Apoptin , catalytic subunit (GCLC)",protein,CHEBI:36080,,CHEBI:138460,CHEBI:37926
FITC-labeled Avidin,fluorescein isothiocyanate,CHEBI:37926,,CHEBI:37918,CHEBI:37926
FITC-labeled and rat Kidins220 amino acid sequence,fluorescein isothiocyanate,CHEBI:37926,,CHEBI:38804,CHEBI:37926
FITC-labelled at N-terminus,fluorescein isothiocyanate,CHEBI:37926,,CHEBI:37918,CHEBI:37926
FITC-siVEGF,ribonucleic acid,CHEBI:33697,,CHEBI:37918,CHEBI:37926
Fluor 633 (AF633) dye,Alexa Fluor 633,CHEBI:137393,CHEBI:24061,CHEBI:24061,CHEBI:24061
Fluorophore (6-carboxy-tetramethylrhodamine),tetramethylrhodamine,CHEBI:52282,,CHEBI:51657,CHEBI:51657
Fluorophore (Alexa),Alexa Fluor 514,CHEBI:52664,,CHEBI:51756,CHEBI:51756
Fluorophore (TAMARA),tetramethylrhodamine,CHEBI:52282,,CHEBI:52006,CHEBI:51657
"Fluorophore (TMR, Alexa fluors and Cy3)",Cy3 dye,CHEBI:37987,,CHEBI:51484,CHEBI:51484
Fluorophore (mCherry),protein,CHEBI:36080,,CHEBI:19663,CHEBI:19663
Fâ²-GpYEEI phosphopeptide,peptide,CHEBI:16670,,CHEBI:161475,CHEBI:161475
Gemcitabine,gemcitabine,CHEBI:175901,CHEBI:175901,CHEBI:175901,CHEBI:175901
Gold nanoparticle and Nanorods,gold nanoparticle,CHEBI:50825,CHEBI:50825,CHEBI:50825,CHEBI:50825
Human epidermal growth factor (hEGF)  and FITC dye,epidermal growth factor receptor antagonist,CHEBI:74440,,CHEBI:37926,CHEBI:37926
Insulin and FITC-labeled at N terminus,insulin,CHEBI:145810,CHEBI:145810,CHEBI:145810,CHEBI:145810
"LST, GH15,SEP ; GH15, SEP, and LysK",peptidoglycan,CHEBI:8005,,CHEBI:6427,CHEBI:6427
Lissamine Rhodamine B dye,lissamine rhodamine,CHEBI:52101,CHEBI:52101,CHEBI:52101,CHEBI:52101
"MBP, GFP and BCCP",protein,CHEBI:36080,,CHEBI:91848,CHEBI:91848
"Nanoparticle (Liposomes), Fluorophore (FITC)",nanoparticle,CHEBI:50803,CHEBI:50803,CHEBI:50803,CHEBI:50803
Nanoparticle (siRNA loaded liposmes),nanoparticle,CHEBI:50803,CHEBI:50803,CHEBI:50803,CHEBI:50803
Naringenin (NAR),naringenin,CHEBI:50202,CHEBI:50202,CHEBI:50202,CHEBI:50202
Nucleic acid (pDNA),nucleic acid,CHEBI:33696,CHEBI:33696,CHEBI:33696,CHEBI:33696
Nucleic acid (ssDNA oligonucleotide labelled with Alexa-488),nucleic acid,CHEBI:33696,CHEBI:33696,CHEBI:33696,CHEBI:33696
Paclitaxel (PTX) and FAM labeled pST1374-cas9 and pGL3-sgRNA,paclitaxel,CHEBI:45863,CHEBI:45863,CHEBI:45863,CHEBI:45863
Protein (GST),protein,CHEBI:36080,CHEBI:36080,CHEBI:36080,CHEBI:36080
Protein (Insulin),protein,CHEBI:36080,CHEBI:36080,CHEBI:36080,CHEBI:36080
"Protein (eGFP), Phage",protein,CHEBI:36080,CHEBI:36080,CHEBI:36080,CHEBI:36080
Protein kinase C inhibitor (PKCi),protein,CHEBI:36080,CHEBI:37700,CHEBI:37700,CHEBI:37700
Red fluorophore cyanine dye (Cy5),Cy5 dye,CHEBI:37989,,CHEBI:37989,CHEBI:37989
RepRNA,ribonucleic acid,CHEBI:33697,,CHEBI:33697,CHEBI:33697
Rho-labeled SNAP-tag (enzyme),rhodamine green,CHEBI:52764,,CHEBI:35210,CHEBI:35210
Rhodamine dye,rhodamine green,CHEBI:52764,,CHEBI:52764,CHEBI:52764
"SAP (SAF-A/B acinus, and PIAS) domains",,NIL,,CHEBI:74339,CHEBI:74339
Small molecule drug (Doxorubicin),doxorubicin,CHEBI:28748,,CHEBI:64816,CHEBI:28748
TAMRA dye and GFP expression plasmids,tetramethylrhodamine,CHEBI:52282,CHEBI:52282,CHEBI:52282,CHEBI:52282
YOYO-1 labelled pGL3 plasmid DNA,YoYo-1,CHEBI:51224,CHEBI:51224,CHEBI:51224,CHEBI:51224
anti-gyrA PNA,peptide nucleic acid,CHEBI:48021,,CHEBI:67063,CHEBI:67063
anti-gyrA antisense PNAs and scrambled PNAs [scPNAs],peptide nucleic acid,CHEBI:48021,,CHEBI:53280,CHEBI:53280
eGFP at C terminus,protein,CHEBI:36080,,CHEBI:192362,CHEBI:192362
pEGFP,protein,CHEBI:36080,,CHEBI:234576,CHEBI:234576
pVGF/chitosan complex,chitosan,CHEBI:16261,,CHEBI:53524,CHEBI:53524
5-carboxyfluorescein (5-FAM),5-carboxyfluorescein,CHEBI:51617,CHEBI:51617,CHEBI:51617,CHEBI:51617
"5-methoxyuridine-modified mCherry mRNA, Enhanced green fluorescence protein (EGFP) mRNA  and Ovalbumin (OVA) mRNA",protein,CHEBI:36080,,CHEBI:190104,CHEBI:190104
Biotin,biotin,CHEBI:15956,CHEBI:15956,CHEBI:15956,CHEBI:15956
Carboxyfluorescein-labeled phosphopeptide (Fâ²-GpYEEI),fluorescein (lactone form),CHEBI:31624,,CHEBI:23501,CHEBI:51617
Copper/zinc superoxide dismutase (SOD1),EC 1.15.1.1 (superoxide dismutase) inhibitor,CHEBI:134084,,CHEBI:134084,CHEBI:134084
Doxorubicin (DOX),doxorubicin,CHEBI:28748,CHEBI:28748,CHEBI:28748,CHEBI:28748
EGFP protein or FITC,protein,CHEBI:36080,,CHEBI:37926,CHEBI:37926
FAM dye,fluorescein isothiocyanate,CHEBI:37926,,CHEBI:52006,CHEBI:52006
FAM-conjugated,fluorescein isothiocyanate,CHEBI:37926,,CHEBI:230668,CHEBI:138465
FITC and TMR dye,fluorescein isothiocyanate,CHEBI:37926,CHEBI:37926,CHEBI:37926,CHEBI:37926
FITC labelled,fluorescein isothiocyanate,CHEBI:37926,CHEBI:37926,CHEBI:37926,CHEBI:37926
Fluorophore (Fluorescein),fluorescein isothiocyanate,CHEBI:37926,,CHEBI:31624,CHEBI:31624
Fluorophore (rhodamine),fluorescein isothiocyanate,CHEBI:37926,,CHEBI:52767,CHEBI:52767
GFP1â10 plasmid,protein,CHEBI:36080,,CHEBI:63570,CHEBI:63570
Lysostaphin and LysK,protein,CHEBI:36080,,CHEBI:160125,CHEBI:160125
"MART1 epitope , OVACD4 epitope and OVACD8 epitope",protein,CHEBI:36080,,CHEBI:91006,CHEBI:91006
NF-YA subunit of the heterotrimeric transcription factor NF-Y,protein,CHEBI:36080,,CHEBI:212922,CHEBI:212922
Nucleic acid,nucleic acid,CHEBI:33696,CHEBI:33696,CHEBI:33696,CHEBI:33696
Nucleic acid (Plasmid DNA),nucleic acid,CHEBI:33696,CHEBI:33696,CHEBI:33696,CHEBI:33696
Nucleic acid (siRNA),nucleic acid,CHEBI:33696,CHEBI:33696,CHEBI:33696,CHEBI:33696
Peptide (KLA) and Nanoparticle (DSPC and DSPG liposomes),peptide,CHEBI:16670,CHEBI:16670,CHEBI:16670,CHEBI:16670
Photoluminescent multi-shelled quantum dot (QD),quantum dot,CHEBI:50853,,CHEBI:50853,CHEBI:50853
Protein (PO and IgG),protein,CHEBI:36080,CHEBI:36080,CHEBI:36080,CHEBI:36080
Salmonella phage selz,deoxyribonucleic acid,CHEBI:16991,,CHEBI:62227,CHEBI:62227
SpyCas9 RNPs,protein,CHEBI:36080,,CHEBI:84615,CHEBI:84615
StreptavidinâHRP,Streptavidin,CHEBI:201453,,CHEBI:201453,CHEBI:201453
TAMRA dye and Enhanced green fluorescence protein (eGFP),tetramethylrhodamine,CHEBI:52282,CHEBI:52282,CHEBI:52282,CHEBI:52282
mRNA of EGFP and CFTR,protein,CHEBI:36080,CHEBI:33699,CHEBI:33699,CHEBI:33699
pEGFP-N1,protein,CHEBI:36080,,CHEBI:88293,CHEBI:88293
siRNA,nucleic acid,CHEBI:33696,,CHEBI:67208,CHEBI:67208
(5 k)-DPPE-modified Exosomes,,NIL,,CHEBI:210517,CHEBI:64427
(PEG)-stabilized gold nanostars (AuNS),gold nanocrystal,CHEBI:52854,,CHEBI:82776,CHEBI:50825
5(6)-carboxyfluorescein (CF) dye,5(6)-carboxyfluorescein,CHEBI:138465,CHEBI:138465,CHEBI:138465,CHEBI:138465
"5(6)-carboxyfluorescein (CF) dye , Daunorubicin (Dau) and mCherry Plasmid",5(6)-carboxyfluorescein,CHEBI:138465,CHEBI:138465,CHEBI:138465,CHEBI:138465
5(6)Ðcarboxytetramethylrhodamine (Rh) on C-terminal lysin,5-carboxytetramethylrhodamine,CHEBI:51657,,CHEBI:51657,CHEBI:51657
5-carboxytetramethylrhodamine (TAMRA),tetramethylrhodamine,CHEBI:52282,CHEBI:51657,CHEBI:51657,CHEBI:51657
5-fluorouracil (5-FU)  ; lissamine rhodamine-labelled liposomes,lissamine rhodamine,CHEBI:52101,CHEBI:46345,CHEBI:46345,CHEBI:46345
A488 dye,Alexa Fluor 488,CHEBI:52661,,CHEBI:52261,CHEBI:52261
ACPP-HPMA Copolymer-Coated Adenovirus Conjugates,deoxyribonucleic acid,CHEBI:16991,,CHEBI:53523,CHEBI:53523
ASF1 peptide inhibitors,peptide,CHEBI:16670,,CHEBI:138956,CHEBI:138956
ATTO 425 and Tetramethylrhodamine-5-maleimide (TAMRA) at Cysteine,tetramethylrhodamine,CHEBI:52282,,CHEBI:51785,CHEBI:51785
Alexa Fluor 680 (AF680) near-infrared fluorescent dye,fluorescent dye,CHEBI:51121,,CHEBI:52677,CHEBI:52677
Alexa fluor 568 labelled Gold nanoparticles (GNPs) loaded with temozolomide (TMZ),gold nanoparticle,CHEBI:50825,CHEBI:51766,CHEBI:51766,CHEBI:51766
Alexa fluorÂ® 488 at Lys,Alexa Fluor 488,CHEBI:52661,,CHEBI:52661,CHEBI:52661
"Alexa488 labelled, Tetramethylrhodamine labelled and  siNTC/siSDC4 , loxP-DsRed-loxP-EGFP",Alexa Fluor 488,CHEBI:52661,,CHEBI:52266,CHEBI:51484
Alexa555-labeled siRNA,nucleic acid,CHEBI:33696,,CHEBI:52673,CHEBI:33699
Alpha-momorcharin (Î±-MMC),protein,CHEBI:36080,,CHEBI:136932,CHEBI:136932
Anti-miR-199a oligonucleotide,oligonucleotide,CHEBI:7754,,CHEBI:133021,CHEBI:133021
Autophagy related 7 (ATG7) siRNA and docetaxel (DTX),nucleic acid,CHEBI:33696,,CHEBI:59809,CHEBI:59809
Bim mRNA,messenger RNA,CHEBI:33699,CHEBI:33173,CHEBI:33173,CHEBI:33173
Bone morphogenetic proteinâ7 (BMPâ7),protein,CHEBI:36080,,CHEBI:60815,CHEBI:60815
Botulinum neurotoxin serotype A (BoNTA),neurotoxin,CHEBI:50910,,CHEBI:3160,CHEBI:3160
CF peptide,peptide,CHEBI:16670,CHEBI:33392,CHEBI:33392,CHEBI:33392
"CY5/FITC labelled-Three proteins, bovine serum albumin (BSA), peroxidase (HRP) and Î²-galactosidase (Î²-gal)",Cy5 dye,CHEBI:37989,,CHEBI:38039,CHEBI:38039
Calcitriol and PGD2-G-loaded Lipid nanocapsules (LNC),calcitriol,CHEBI:17823,CHEBI:17823,CHEBI:17823,CHEBI:17823
Coumarin-6 loaded PLGA nanoparticles,nanoparticle,CHEBI:50803,,CHEBI:131895,CHEBI:131895
Cre protein and Rhodamine dye,protein,CHEBI:36080,CHEBI:231490,CHEBI:231490,CHEBI:231490
Cre recombinase,protein,CHEBI:36080,CHEBI:231490,CHEBI:231490,CHEBI:231490
Curcumin,curcumin,CHEBI:3962,CHEBI:3962,CHEBI:3962,CHEBI:3962
Cy3-conjugated siRNA,Cy3 dye,CHEBI:37987,,CHEBI:37990,CHEBI:33699
Cy5-labeled pDNA (fLuc  and gLuc),deoxyribonucleic acid,CHEBI:16991,,CHEBI:235524,CHEBI:235524
Cytochrome C,cytochrome c,CHEBI:18070,CHEBI:18070,CHEBI:18070,CHEBI:18070
DOCK2-inhibitory peptide (DCpep-2),peptide,CHEBI:16670,,CHEBI:60216,CHEBI:60216
Dexamethasone sodium phosphate(DexSP),dexamethasone sodium phosphate,CHEBI:4462,CHEBI:41879,CHEBI:41879,CHEBI:41879
Diapause hormone (caDH) and GFP protein,protein,CHEBI:36080,,CHEBI:64252,CHEBI:64252
Docetaxel (DTX) and Chloroquine (CQ),docetaxel anhydrous,CHEBI:4672,CHEBI:4672,CHEBI:4672,CHEBI:4672
Doxorubicin and astragaloside IV co-modified,doxorubicin,CHEBI:28748,CHEBI:28748,CHEBI:28748,CHEBI:28748
Doxorubicin dimer,doxorubicin,CHEBI:28748,CHEBI:28748,CHEBI:28748,CHEBI:28748
Enhanced green fluorescent protein (EGFP),protein,CHEBI:36080,,CHEBI:88289,CHEBI:88289
FAM-GAPDH siRNA,fluorescein isothiocyanate,CHEBI:37926,,CHEBI:75810,CHEBI:138465
FAM-labelled micelles loaded Doxorubicin (DOX),fluorescein isothiocyanate,CHEBI:37926,,CHEBI:220929,CHEBI:171662
FAM-labelled siRNA,fluorescein isothiocyanate,CHEBI:37926,,CHEBI:166872,CHEBI:166872
FAM-siRNA liposome,fluorescein isothiocyanate,CHEBI:37926,,CHEBI:3750,CHEBI:3750
FIT-DNA1,deoxyribonucleic acid,CHEBI:16991,,CHEBI:189867,CHEBI:37926
FITC,fluorescein isothiocyanate,CHEBI:37926,CHEBI:37926,CHEBI:37926,CHEBI:37926
FITC dye and DNase I protein,fluorescein isothiocyanate,CHEBI:37926,CHEBI:37926,CHEBI:37926,CHEBI:37926
FITC dye and Imatinib drug,fluorescein isothiocyanate,CHEBI:37926,CHEBI:37926,CHEBI:37926,CHEBI:37926
FITC dye and Î²-galactosidase enzyme,fluorescein isothiocyanate,CHEBI:37926,CHEBI:37926,CHEBI:37926,CHEBI:37926
FITC-CDDP(cisplatin ),fluorescein isothiocyanate,CHEBI:37926,,CHEBI:52202,CHEBI:37926
FITC-HSA,fluorescein isothiocyanate,CHEBI:37926,,CHEBI:37918,CHEBI:37918
FITC-conjugated at N terminus,fluorescein isothiocyanate,CHEBI:37926,,CHEBI:37918,CHEBI:37918
FITC-labeled PGLA nanoparticles loaded with paclitaxel,fluorescein isothiocyanate,CHEBI:37926,,CHEBI:63570,CHEBI:37926
"FITC-labeled pCas12f pDNA , MC Cas9-Cre",deoxyribonucleic acid,CHEBI:16991,,CHEBI:58719,CHEBI:37926
FITC-labelled  Quantum dot (QD),quantum dot,CHEBI:50853,,CHEBI:50853,CHEBI:50853
FITC-labelled Superoxide dismutase (SOD),EC 1.15.1.1 (superoxide dismutase) inhibitor,CHEBI:134084,,CHEBI:134084,CHEBI:134084
Fas-associated death domain (FADD),protein,CHEBI:36080,,CHEBI:76181,CHEBI:76181
Fluc mRNA,messenger RNA,CHEBI:33699,,CHEBI:5119,CHEBI:5119
Fluorescein dye,fluorescein isothiocyanate,CHEBI:37926,CHEBI:51121,CHEBI:31624,CHEBI:31624
Fluorescein isothiocyanate (FITC)  dye,fluorescein isothiocyanate,CHEBI:37926,CHEBI:37926,CHEBI:37926,CHEBI:37926
Fluorescein isothiocyanate (FITC)-labeled Interleukin-24 (IL-24) at C-terminal of TAT,fluorescein isothiocyanate,CHEBI:37926,CHEBI:37926,CHEBI:37926,CHEBI:37926
Fluorescein-GpYEEI and Epirubicin,epirubicin hydrochloride,CHEBI:232543,,CHEBI:233301,CHEBI:233301
Fluorescent polymer dots (Pdots),polymer,CHEBI:60027,,CHEBI:60555,CHEBI:60555
Fluorescently labeled CaM_binding sequence (CBS_E2),protein,CHEBI:36080,,CHEBI:51903,CHEBI:37926
Fluorometholone-loaded PEG-PLGA nanoparticles (NPs),nanoparticle,CHEBI:50803,,CHEBI:53314,CHEBI:50803
Fluorophor (TMR),BODIPY TMR-X,CHEBI:51891,,CHEBI:134757,CHEBI:52281
Fluorophore (5-Carboxyfluorescein),5-carboxyfluorescein,CHEBI:51617,,CHEBI:51617,CHEBI:51617
Fluorophore [5-carboxyfluorescein (FAM)],fluorescein isothiocyanate,CHEBI:37926,,CHEBI:51617,CHEBI:51617
G7-18NATE Peptide,peptide,CHEBI:16670,,CHEBI:89387,CHEBI:89387
GFP-binding nanobodies (GBP4) at N terminus,protein,CHEBI:36080,,CHEBI:63748,CHEBI:63748
"Gambogic acid(GA), nanostructured lipid carrier(NLC) , coumarin-7",(-)-gambogic acid,CHEBI:67521,,CHEBI:60998,CHEBI:60004
Gold nanoparticles ( PEG-AuNPs),gold nanoparticle,CHEBI:50825,CHEBI:29287,CHEBI:29287,CHEBI:29287
Gold nanorods (GNR),gold nanoparticle,CHEBI:50825,CHEBI:29287,CHEBI:29287,CHEBI:29287
HIV-1 Nef and Hsp20-Nef proteins,protein,CHEBI:36080,,CHEBI:17154,CHEBI:17154
Histone H3 derived peptide (H3K4me3),peptide,CHEBI:16670,CHEBI:234587,CHEBI:234587,CHEBI:234587
Human metallothionein 1A (hMT1A),protein,CHEBI:36080,,CHEBI:6824,CHEBI:6824
HuscFv27 antibody,protein,CHEBI:36080,,CHEBI:190678,CHEBI:190678
IL-22BP mRNA,messenger RNA,CHEBI:33699,,CHEBI:204500,CHEBI:204500
Insulin loaded Phosphoserine (Pho) conjugated PLGA NPs,insulin,CHEBI:145810,CHEBI:145810,CHEBI:145810,CHEBI:145810
KLK12-siRNA,nucleic acid,CHEBI:33696,,CHEBI:77113,CHEBI:77113
Leucine-rich repeat domain (LRR) of NLRX1,protein,CHEBI:36080,,CHEBI:158967,CHEBI:158967
MBPâRFPâCyaA  fusion protein,protein,CHEBI:36080,,CHEBI:188119,CHEBI:188119
Manganese superoxide dismutase (MnSOD),EC 1.15.1.1 (superoxide dismutase) inhibitor,CHEBI:134084,CHEBI:136511,CHEBI:136511,CHEBI:136511
Murine cytomegalovirus protein (M45)-RHIM proteins,protein,CHEBI:36080,,CHEBI:222289,CHEBI:222289
Nanoparticle (Cy3-labeled nanoparticles complexed with DNA),nanoparticle,CHEBI:50803,CHEBI:50803,CHEBI:50803,CHEBI:50803
"Nanoparticle (LMWP/PLGA nanoparticles), Small molecule drug (Doxorubicin)",nanoparticle,CHEBI:50803,CHEBI:50803,CHEBI:50803,CHEBI:50803
"Nanoparticle (PTX with liposome), GSH",nanoparticle,CHEBI:50803,CHEBI:50803,CHEBI:50803,CHEBI:50803
Nanoparticle [salmon calcitonin (sCT)-loaded SLNs (Solid Lipid Nanoparticle)],nanoparticle,CHEBI:50803,CHEBI:50803,CHEBI:50803,CHEBI:50803
Nanoparticles (LPNs) loaded with Docetaxel (DTX) and plasmid DNA,docetaxel anhydrous,CHEBI:4672,CHEBI:50803,CHEBI:50803,CHEBI:50803
Nucleic acid (Plasmid DNA and siRNA),nucleic acid,CHEBI:33696,CHEBI:33696,CHEBI:33696,CHEBI:33696
Nucleic acid (SCO),nucleic acid,CHEBI:33696,CHEBI:33696,CHEBI:33696,CHEBI:33696
Olsalazine (Olsa),olsalazine,CHEBI:7770,CHEBI:7770,CHEBI:7770,CHEBI:7770
PEGylated liposomes loaded with doxorubicin (DOX) or FAM (dye),doxorubicin,CHEBI:28748,,CHEBI:142664,CHEBI:142664
PR-PPD peptides,peptide,CHEBI:16670,,CHEBI:8458,CHEBI:8458
Peptide (HBcAg18 27-Tapasin),peptide,CHEBI:16670,CHEBI:16670,CHEBI:16670,CHEBI:16670
Peptide [Ca2+ channel binding domain 9CBD3)],peptide,CHEBI:16670,CHEBI:16670,CHEBI:16670,CHEBI:16670
Peptides NR2B9c and N-dimer,peptide,CHEBI:16670,CHEBI:16670,CHEBI:16670,CHEBI:16670
Plasmid DNA (pGL3),nucleic acid,CHEBI:33696,,CHEBI:34635,CHEBI:6476
Polo-like kinase 1 specific siRNA (siPLK1),nucleic acid,CHEBI:33696,,CHEBI:145425,CHEBI:145425
Porcine Mx1 (poMx1),protein,CHEBI:36080,,CHEBI:88215,CHEBI:88215
Porphyrin derivative at N terminus and radiolabeled with 68GaCl3,porphyrin,CHEBI:8337,CHEBI:8337,CHEBI:8337,CHEBI:8337
Prdx6 protein,protein,CHEBI:36080,,CHEBI:15967,CHEBI:15967
Protein (Avidin-FITC),fluorescein isothiocyanate,CHEBI:37926,CHEBI:36080,CHEBI:36080,CHEBI:36080
RNPs of Cas9 or Cpf1 (AsCas12a),protein,CHEBI:36080,,CHEBI:139617,CHEBI:139617
Rhodamine-labeled Elastin like polypeptide (ELP) loaded p50,rhodamine green,CHEBI:52764,,CHEBI:167884,CHEBI:167884
Stapled peptide SP9 and Cy3 dye,peptide,CHEBI:16670,,CHEBI:60513,CHEBI:60513
Stearoyl-modified bombesin (Bom) micelles,Bombesin,CHEBI:80229,,CHEBI:62827,CHEBI:62827
Superoxide dismutases mimic (Mn1),EC 1.15.1.1 (superoxide dismutase) inhibitor,CHEBI:134084,CHEBI:18421,CHEBI:18421,CHEBI:18421
T7-EEB phage,deoxyribonucleic acid,CHEBI:16991,,CHEBI:108072,CHEBI:108072
TAMRA dye and MTX (Methotrexate),tetramethylrhodamine,CHEBI:52282,CHEBI:52282,CHEBI:52282,CHEBI:52282
TPETPAFN and TPAFN,,NIL,,CHEBI:52247,CHEBI:52247
Tacrine,tacrine,CHEBI:45980,CHEBI:45980,CHEBI:45980,CHEBI:45980
Technetium 99m (99mTc)  and Cyanine5.5 (Cy5.5) dye,technetium atom,CHEBI:33353,CHEBI:33353,CHEBI:33353,CHEBI:33353
Triptolide (TP),Triptolide,CHEBI:9747,CHEBI:9747,CHEBI:9747,CHEBI:9747
Truncated Pseudomonas aeruginosa exotoxin.,,NIL,,CHEBI:221123,CHEBI:221123
Tyrosinase-related protein 2 (Trp2),protein,CHEBI:36080,,CHEBI:34328,CHEBI:34328
VEGF FAM-GAPDH siRNA and Cy5-lamin ASOs,fluorescein isothiocyanate,CHEBI:37926,,CHEBI:62189,CHEBI:37989
aminoglycoside tobramycin at C terminal,aminoglycoside,CHEBI:47779,CHEBI:47779,CHEBI:47779,CHEBI:47779
"anti-gyrA PNA , anti-gyrA scPNA",peptide nucleic acid,CHEBI:48021,,CHEBI:85323,CHEBI:85323
"avidin-Î²-Gal , BSA-FITC , DTAF-MART-1 antigen",fluorescein isothiocyanate,CHEBI:37926,,CHEBI:55467,CHEBI:37926
eGFP,protein,CHEBI:36080,,CHEBI:52053,CHEBI:52053
glucagon-like peptide-2 (GLP-2),peptide,CHEBI:16670,,CHEBI:80271,CHEBI:80271
pEGFP-N1 plasmid and FITC dye,nucleic acid,CHEBI:33696,,CHEBI:72498,CHEBI:72498
pEGFP-N2,protein,CHEBI:36080,,CHEBI:134835,CHEBI:134835
pHBT-sGFP(S65T),protein,CHEBI:36080,,CHEBI:93210,CHEBI:93210
pHK peptide and 7-Amino-4-Methylcoumarin Fluorescent dye,peptide,CHEBI:16670,,CHEBI:82833,CHEBI:51771
pRFP and FAM dye,fluorescein isothiocyanate,CHEBI:37926,,CHEBI:46768,CHEBI:46768
"pSMD2Luc_ITR and FLuc mRNA , EGFP mRNA , Cyanine 5 Fluc mRNA",messenger RNA,CHEBI:33699,,CHEBI:61576,CHEBI:61576
pVAXI-En and pEGFP-N1 plasmids,nucleic acid,CHEBI:33696,,CHEBI:53420,CHEBI:53420
pZNF581,,NIL,,CHEBI:77543,CHEBI:77543
pcDNA3.1-Nef,,NIL,,CHEBI:210371,CHEBI:210371
"ppAKT1(T308,S473) and pAKT1(S473)",protein,CHEBI:36080,,CHEBI:168739,CHEBI:37853
rNef-Vif-Gp160-P24 and rNef-Vpu-Gp160-P24 polyepitope peptides,peptide,CHEBI:16670,,CHEBI:86303,CHEBI:15841
silver-based nanoparticles (AgNPs) labelled with CF555 fluorescent dye,silver nanoparticle,CHEBI:50826,,CHEBI:82778,CHEBI:82778
Î²-gal protein and  RNase T1,protein,CHEBI:36080,,CHEBI:74949,CHEBI:74949
(6-FAM)-BACE1 siRNA,fluorescein isothiocyanate,CHEBI:37926,,CHEBI:59426,CHEBI:37918
9D11 mAB,protein,CHEBI:36080,,CHEBI:5384,CHEBI:5384
Alpha-melanocyte-stimulating hormone (Î±-MSH) at C terminus,alpha-melanocyte stimulating hormone,CHEBI:195325,,CHEBI:158474,CHEBI:158474
Amine-modified 59-nt oligodeoxynucleotide (ODN),CpG-oligodeoxynucleotide,CHEBI:232583,,CHEBI:73305,CHEBI:7754
Antisense oligonucleotides (ASOs) ;PMOs,antisense oligonucleotide,CHEBI:76720,,CHEBI:76674,CHEBI:76720
AÎ² peptides (AÎ²1-6A2V(D)),peptide,CHEBI:16670,,CHEBI:147364,CHEBI:147364
Camptothecin (CPT),camptothecin,CHEBI:27656,CHEBI:27656,CHEBI:27656,CHEBI:27656
Chlorin e6 Phospholipid,Chlorin E6,CHEBI:168630,CHEBI:168630,CHEBI:168630,CHEBI:168630
Cyanine-3 labelled PLGA nanoparticles (NPs),nanoparticle,CHEBI:50803,,CHEBI:131895,CHEBI:50803
Cyanine-5.5-labeled,Cy5.5 dye,CHEBI:52003,,CHEBI:37989,CHEBI:52003
