Cargo,Cargo_CHEBI_label,Cargo_CHEBI_id
Fluorophore (Fluorescein),fluorescein isothiocyanate,CHEBI:37926
Fluorophore (rhodamine),fluorescein isothiocyanate,CHEBI:37926
GFP1â10 plasmid,protein,CHEBI:36080
Lysostaphin and LysK,protein,CHEBI:36080
"MART1 epitope , OVACD4 epitope and OVACD8 epitope",protein,CHEBI:36080
NF-YA subunit of the heterotrimeric transcription factor NF-Y,protein,CHEBI:36080
Nucleic acid,nucleic acid,CHEBI:33696
Nucleic acid (Plasmid DNA),nucleic acid,CHEBI:33696
Nucleic acid (siRNA),nucleic acid,CHEBI:33696
Peptide (KLA) and Nanoparticle (DSPC and DSPG liposomes),peptide,CHEBI:16670
Photoluminescent multi-shelled quantum dot (QD),quantum dot,CHEBI:50853
Protein (PO and IgG),protein,CHEBI:36080
Salmonella phage selz,deoxyribonucleic acid,CHEBI:16991
SpyCas9 RNPs,protein,CHEBI:36080
StreptavidinâHRP,Streptavidin,CHEBI:201453
TAMRA dye and Enhanced green fluorescence protein (eGFP),tetramethylrhodamine,CHEBI:52282
mRNA of EGFP and CFTR,protein,CHEBI:36080
pEGFP-N1,protein,CHEBI:36080
siRNA,nucleic acid,CHEBI:33696
(5 k)-DPPE-modified Exosomes,,NIL
(PEG)-stabilized gold nanostars (AuNS),gold nanocrystal,CHEBI:52854
5(6)-carboxyfluorescein (CF) dye,5(6)-carboxyfluorescein,CHEBI:138465
"5(6)-carboxyfluorescein (CF) dye , Daunorubicin (Dau) and mCherry Plasmid",5(6)-carboxyfluorescein,CHEBI:138465
5(6)Ðcarboxytetramethylrhodamine (Rh) on C-terminal lysin,5-carboxytetramethylrhodamine,CHEBI:51657
5-carboxytetramethylrhodamine (TAMRA),tetramethylrhodamine,CHEBI:52282
5-fluorouracil (5-FU)  ; lissamine rhodamine-labelled liposomes,lissamine rhodamine,CHEBI:52101
A488 dye,Alexa Fluor 488,CHEBI:52661
ACPP-HPMA Copolymer-Coated Adenovirus Conjugates,deoxyribonucleic acid,CHEBI:16991
ASF1 peptide inhibitors,peptide,CHEBI:16670
ATTO 425 and Tetramethylrhodamine-5-maleimide (TAMRA) at Cysteine,tetramethylrhodamine,CHEBI:52282
Alexa Fluor 680 (AF680) near-infrared fluorescent dye,fluorescent dye,CHEBI:51121
Alexa fluor 568 labelled Gold nanoparticles (GNPs) loaded with temozolomide (TMZ),gold nanoparticle,CHEBI:50825
Alexa fluorÂ® 488 at Lys,Alexa Fluor 488,CHEBI:52661
"Alexa488 labelled, Tetramethylrhodamine labelled and  siNTC/siSDC4 , loxP-DsRed-loxP-EGFP",Alexa Fluor 488,CHEBI:52661
Alexa555-labeled siRNA,nucleic acid,CHEBI:33696
Alpha-momorcharin (Î±-MMC),protein,CHEBI:36080
Anti-miR-199a oligonucleotide,oligonucleotide,CHEBI:7754
Autophagy related 7 (ATG7) siRNA and docetaxel (DTX),nucleic acid,CHEBI:33696
Bim mRNA,messenger RNA,CHEBI:33699
Bone morphogenetic proteinâ7 (BMPâ7),protein,CHEBI:36080
Botulinum neurotoxin serotype A (BoNTA),neurotoxin,CHEBI:50910
CF peptide,peptide,CHEBI:16670
"CY5/FITC labelled-Three proteins, bovine serum albumin (BSA), peroxidase (HRP) and Î²-galactosidase (Î²-gal)",Cy5 dye,CHEBI:37989
Calcitriol and PGD2-G-loaded Lipid nanocapsules (LNC),calcitriol,CHEBI:17823
Coumarin-6 loaded PLGA nanoparticles,nanoparticle,CHEBI:50803
Cre protein and Rhodamine dye,protein,CHEBI:36080
Cre recombinase,protein,CHEBI:36080
Curcumin,curcumin,CHEBI:3962
Cy3-conjugated siRNA,Cy3 dye,CHEBI:37987
Cy5-labeled pDNA (fLuc  and gLuc),deoxyribonucleic acid,CHEBI:16991
Cytochrome C,cytochrome c,CHEBI:18070
DOCK2-inhibitory peptide (DCpep-2),peptide,CHEBI:16670
Dexamethasone sodium phosphate(DexSP),dexamethasone sodium phosphate,CHEBI:4462
Diapause hormone (caDH) and GFP protein,protein,CHEBI:36080
Docetaxel (DTX) and Chloroquine (CQ),docetaxel anhydrous,CHEBI:4672
Doxorubicin and astragaloside IV co-modified,doxorubicin,CHEBI:28748
Doxorubicin dimer,doxorubicin,CHEBI:28748
Enhanced green fluorescent protein (EGFP),protein,CHEBI:36080
FAM-GAPDH siRNA,fluorescein isothiocyanate,CHEBI:37926
FAM-labelled micelles loaded Doxorubicin (DOX),fluorescein isothiocyanate,CHEBI:37926
FAM-labelled siRNA,fluorescein isothiocyanate,CHEBI:37926
FAM-siRNA liposome,fluorescein isothiocyanate,CHEBI:37926
FIT-DNA1,deoxyribonucleic acid,CHEBI:16991
FITC,fluorescein isothiocyanate,CHEBI:37926
FITC dye and DNase I protein,fluorescein isothiocyanate,CHEBI:37926
FITC dye and Imatinib drug,fluorescein isothiocyanate,CHEBI:37926
FITC dye and Î²-galactosidase enzyme,fluorescein isothiocyanate,CHEBI:37926
FITC-CDDP(cisplatin ),fluorescein isothiocyanate,CHEBI:37926
FITC-HSA,fluorescein isothiocyanate,CHEBI:37926
FITC-conjugated at N terminus,fluorescein isothiocyanate,CHEBI:37926
FITC-labeled PGLA nanoparticles loaded with paclitaxel,fluorescein isothiocyanate,CHEBI:37926
"FITC-labeled pCas12f pDNA , MC Cas9-Cre",deoxyribonucleic acid,CHEBI:16991
FITC-labelled  Quantum dot (QD),quantum dot,CHEBI:50853
FITC-labelled Superoxide dismutase (SOD),EC 1.15.1.1 (superoxide dismutase) inhibitor,CHEBI:134084
Fas-associated death domain (FADD),protein,CHEBI:36080
Fluc mRNA,messenger RNA,CHEBI:33699
Fluorescein dye,fluorescein isothiocyanate,CHEBI:37926
Fluorescein isothiocyanate (FITC)  dye,fluorescein isothiocyanate,CHEBI:37926
Fluorescein isothiocyanate (FITC)-labeled Interleukin-24 (IL-24) at C-terminal of TAT,fluorescein isothiocyanate,CHEBI:37926
Fluorescein-GpYEEI and Epirubicin,epirubicin hydrochloride,CHEBI:232543
Fluorescent polymer dots (Pdots),polymer,CHEBI:60027
Fluorescently labeled CaM_binding sequence (CBS_E2),protein,CHEBI:36080
Fluorometholone-loaded PEG-PLGA nanoparticles (NPs),nanoparticle,CHEBI:50803
Fluorophor (TMR),BODIPY TMR-X,CHEBI:51891
Fluorophore (5-Carboxyfluorescein),5-carboxyfluorescein,CHEBI:51617
Fluorophore [5-carboxyfluorescein (FAM)],fluorescein isothiocyanate,CHEBI:37926
G7-18NATE Peptide,peptide,CHEBI:16670
GFP-binding nanobodies (GBP4) at N terminus,protein,CHEBI:36080
"Gambogic acid(GA), nanostructured lipid carrier(NLC) , coumarin-7",(-)-gambogic acid,CHEBI:67521
Gold nanoparticles ( PEG-AuNPs),gold nanoparticle,CHEBI:50825
Gold nanorods (GNR),gold nanoparticle,CHEBI:50825
HIV-1 Nef and Hsp20-Nef proteins,protein,CHEBI:36080
Histone H3 derived peptide (H3K4me3),peptide,CHEBI:16670
Human metallothionein 1A (hMT1A),protein,CHEBI:36080
HuscFv27 antibody,protein,CHEBI:36080
IL-22BP mRNA,messenger RNA,CHEBI:33699
Insulin loaded Phosphoserine (Pho) conjugated PLGA NPs,insulin,CHEBI:145810
KLK12-siRNA,nucleic acid,CHEBI:33696
Leucine-rich repeat domain (LRR) of NLRX1,protein,CHEBI:36080
MBPâRFPâCyaA  fusion protein,protein,CHEBI:36080
Manganese superoxide dismutase (MnSOD),EC 1.15.1.1 (superoxide dismutase) inhibitor,CHEBI:134084
Murine cytomegalovirus protein (M45)-RHIM proteins,protein,CHEBI:36080
Nanoparticle (Cy3-labeled nanoparticles complexed with DNA),nanoparticle,CHEBI:50803
"Nanoparticle (LMWP/PLGA nanoparticles), Small molecule drug (Doxorubicin)",nanoparticle,CHEBI:50803
"Nanoparticle (PTX with liposome), GSH",nanoparticle,CHEBI:50803
Nanoparticle [salmon calcitonin (sCT)-loaded SLNs (Solid Lipid Nanoparticle)],nanoparticle,CHEBI:50803
Nanoparticles (LPNs) loaded with Docetaxel (DTX) and plasmid DNA,docetaxel anhydrous,CHEBI:4672
Nucleic acid (Plasmid DNA and siRNA),nucleic acid,CHEBI:33696
Nucleic acid (SCO),nucleic acid,CHEBI:33696
Olsalazine (Olsa),olsalazine,CHEBI:7770
PEGylated liposomes loaded with doxorubicin (DOX) or FAM (dye),doxorubicin,CHEBI:28748
PR-PPD peptides,peptide,CHEBI:16670
Peptide (HBcAg18 27-Tapasin),peptide,CHEBI:16670
Peptide [Ca2+ channel binding domain 9CBD3)],peptide,CHEBI:16670
Peptides NR2B9c and N-dimer,peptide,CHEBI:16670
Plasmid DNA (pGL3),nucleic acid,CHEBI:33696
Polo-like kinase 1 specific siRNA (siPLK1),nucleic acid,CHEBI:33696
Porcine Mx1 (poMx1),protein,CHEBI:36080
Porphyrin derivative at N terminus and radiolabeled with 68GaCl3,porphyrin,CHEBI:8337
Prdx6 protein,protein,CHEBI:36080
Protein (Avidin-FITC),fluorescein isothiocyanate,CHEBI:37926
RNPs of Cas9 or Cpf1 (AsCas12a),protein,CHEBI:36080
Rhodamine-labeled Elastin like polypeptide (ELP) loaded p50,rhodamine green,CHEBI:52764
Stapled peptide SP9 and Cy3 dye,peptide,CHEBI:16670
Stearoyl-modified bombesin (Bom) micelles,Bombesin,CHEBI:80229
Superoxide dismutases mimic (Mn1),EC 1.15.1.1 (superoxide dismutase) inhibitor,CHEBI:134084
T7-EEB phage,deoxyribonucleic acid,CHEBI:16991
TAMRA dye and MTX (Methotrexate),tetramethylrhodamine,CHEBI:52282
TPETPAFN and TPAFN,,NIL
Tacrine,tacrine,CHEBI:45980
Technetium 99m (99mTc)  and Cyanine5.5 (Cy5.5) dye,technetium atom,CHEBI:33353
Triptolide (TP),Triptolide,CHEBI:9747
Truncated Pseudomonas aeruginosa exotoxin.,,NIL
Tyrosinase-related protein 2 (Trp2),protein,CHEBI:36080
VEGF FAM-GAPDH siRNA and Cy5-lamin ASOs,fluorescein isothiocyanate,CHEBI:37926
aminoglycoside tobramycin at C terminal,aminoglycoside,CHEBI:47779
"anti-gyrA PNA , anti-gyrA scPNA",peptide nucleic acid,CHEBI:48021
"avidin-Î²-Gal , BSA-FITC , DTAF-MART-1 antigen",fluorescein isothiocyanate,CHEBI:37926
eGFP,protein,CHEBI:36080
glucagon-like peptide-2 (GLP-2),peptide,CHEBI:16670
pEGFP-N1 plasmid and FITC dye,nucleic acid,CHEBI:33696
pEGFP-N2,protein,CHEBI:36080
pHBT-sGFP(S65T),protein,CHEBI:36080
pHK peptide and 7-Amino-4-Methylcoumarin Fluorescent dye,peptide,CHEBI:16670
pRFP and FAM dye,fluorescein isothiocyanate,CHEBI:37926
"pSMD2Luc_ITR and FLuc mRNA , EGFP mRNA , Cyanine 5 Fluc mRNA",messenger RNA,CHEBI:33699
pVAXI-En and pEGFP-N1 plasmids,nucleic acid,CHEBI:33696
pZNF581,,NIL
pcDNA3.1-Nef,,NIL
"ppAKT1(T308,S473) and pAKT1(S473)",protein,CHEBI:36080
rNef-Vif-Gp160-P24 and rNef-Vpu-Gp160-P24 polyepitope peptides,peptide,CHEBI:16670
silver-based nanoparticles (AgNPs) labelled with CF555 fluorescent dye,silver nanoparticle,CHEBI:50826
Î²-gal protein and  RNase T1,protein,CHEBI:36080
(6-FAM)-BACE1 siRNA,fluorescein isothiocyanate,CHEBI:37926
9D11 mAB,protein,CHEBI:36080
Alpha-melanocyte-stimulating hormone (Î±-MSH) at C terminus,alpha-melanocyte stimulating hormone,CHEBI:195325
Amine-modified 59-nt oligodeoxynucleotide (ODN),CpG-oligodeoxynucleotide,CHEBI:232583
Antisense oligonucleotides (ASOs) ;PMOs,antisense oligonucleotide,CHEBI:76720
AÎ² peptides (AÎ²1-6A2V(D)),peptide,CHEBI:16670
Camptothecin (CPT),camptothecin,CHEBI:27656
Chlorin e6 Phospholipid,Chlorin E6,CHEBI:168630
Cyanine-3 labelled PLGA nanoparticles (NPs),nanoparticle,CHEBI:50803
Cyanine-5.5-labeled,Cy5.5 dye,CHEBI:52003
Ergosterol (ERG) loaded diamminedichloridoplatinum(II) [DDP] liposomes (LIP),ergosterol,CHEBI:16933
FAM-labeled Anti-c-Myc siRNA,fluorescein isothiocyanate,CHEBI:37926
FAM-labeled Anti-c-myc siRNA,fluorescein isothiocyanate,CHEBI:37926
FER siRNA,nucleic acid,CHEBI:33696
FITC conjugated PNA targeting the duck HBV (DHBV),peptide nucleic acid,CHEBI:48021
FITC-BSA,fluorescein isothiocyanate,CHEBI:37926
FITC-HSA  conjugated with paclitaxel / thioredoxin /doxorubicin,doxorubicin,CHEBI:28748
FITC-labeled & Magainin,Magainin 1,CHEBI:80186
Fluorescein-labeled 70 kDa dextran (Dex70-FL),dextran,CHEBI:52071
Fluorophore (5-FAM),fluorescein isothiocyanate,CHEBI:37926
Fluorophore (5-FAM) and MTS,fluorescein isothiocyanate,CHEBI:37926
Fluorophore (TMR-5(6)C2- maleimide),,NIL
Fluorophore (iodine),iodide,CHEBI:16382
GFP modified with adamantane (Ad) tags,protein,CHEBI:36080
HPV16L2-88 peptide,peptide,CHEBI:16670
Hsp70-2 chaperone,protein,CHEBI:36080
Indole-3-acetic acid-based DNA primase/gyrase via amide bond,indole-3-acetic acid,CHEBI:16411
KAAK peptide,peptide,CHEBI:16670
KGGK peptide,peptide,CHEBI:16670
KKKK peptide,peptide,CHEBI:16670
KLAK peptide,peptide,CHEBI:16670
KLAKLAK peptide,peptide,CHEBI:16670
Luminescent iridium(III) complex at N-terminus,iridium(3+),CHEBI:49704
Metallothionein (MT),protein,CHEBI:36080
Morpholino (MO),nucleic acid,CHEBI:33696
Myxovirus resistance protein 1 (Mx1) at N terminus,protein,CHEBI:36080
NEMO-binding domain (NBD) peptide,peptide,CHEBI:16670
Nanoparticle (Rhodamine labelled miscelles and Liposomes),nanoparticle,CHEBI:50803
"Nanoparticle, Protein (eGFP)",nanoparticle,CHEBI:50803
Nanostructured lipid carriers (NLC) loaded with lidocaine hydrochloride (LID),lidocaine hydrochloride,CHEBI:50512
Near-infrared (NIR)-emitting persistent luminescence nanoparticles (PLNP),nanoparticle,CHEBI:50803
P16 and its derivatives,protein,CHEBI:36080
P42-TAT incorporated in a water-in-oil microemulsion,peptide,CHEBI:16670
PNA targeting the duck HBV (DHBV),peptide nucleic acid,CHEBI:48021
PSD-95 sequences (TP95259 aa 259-284),peptide,CHEBI:16670
PTEN gene at N terminus,nucleic acid,CHEBI:33696
Paclitaxel (PTX) loaded nanoparticles,nanoparticle,CHEBI:50803
Peptide (PKA inhibitory peptide),peptide,CHEBI:16670
Peptide [Ca2+ channel binding domain 9CBD3)] and Fluorophore (FITC),peptide,CHEBI:16670
Peptide [Pep-5 (LVVLGKL)],peptide,CHEBI:16670
Peptide [Pep-5 (WE)],peptide,CHEBI:16670
Peptide [Pep-5 (WELVVLG)],peptide,CHEBI:16670
Peptide [Pep-5 (WELVVLGK)],peptide,CHEBI:16670
Peptide [Pep-5 derivative (WELVVLGKL)],peptide,CHEBI:16670
Plasmid pUMVC3-hIL12,nucleic acid,CHEBI:33696
Platinum nanoparticles (PtNPs),nanoparticle,CHEBI:50803
"Protein (?-galactosidase, eGFP), Phages",protein,CHEBI:36080
"Protein (Cu,Zn-superoxide dismutase)",protein,CHEBI:36080
Qdot585  (quantum dots),quantum dot,CHEBI:50853
"TAMRA (~450Da), anti-GFP nanobody GBP1 (~14 kDa),NLS-mCherry( ~28 kDa)",tetramethylrhodamine,CHEBI:52282
TSP2HD antigen (hydrophilic domain of the S. japonicum tetraspanin-2),protein,CHEBI:36080
Tridecapeptide(ZOâ1 recognition unit) via three glycine spacer,peptide,CHEBI:16670
Triptolide (C-14 hydroxyl group derivatives of TP),Triptolide,CHEBI:9747
Triptolide (TPL),Triptolide,CHEBI:9747
Ubiquitin (Ub),protein,CHEBI:36080
c-Myc peptide,peptide,CHEBI:16670
nanocomplexes of PHEA-g-bAPAE-PEG-MLB copolymer,copolymer,CHEBI:60804
plasmid green fluorescence protein (pGFP),nucleic acid,CHEBI:33696
siRNA labelled with Alexa488,nucleic acid,CHEBI:33696
siRNA labelled with Alexa490,nucleic acid,CHEBI:33696
siRNA labelled with Alexa491,nucleic acid,CHEBI:33696
siRNA labelled with Alexa494,nucleic acid,CHEBI:33696
Î²-gal modified with adamantane (Ad) tags,protein,CHEBI:36080
