Cell Line,CLO_label,CLO_id,exact_curie,biosyn_curie,rag_curie
Fresh Tumor Tissues,,NIL,,CLO:0036938,CLO:0036938
GAG-deficient CHO-pgsA745 cells (GAGneg),pgsA-745 cell,CLO:0008434,,CLO:0008434,CLO:0008434
Giant Plasma Membrane Vesicles  (Gpmv)Of Mb-231,MDA-MB-231 cell,CLO:0007634,,CLO:0007631,CLO:0007634
Giant Plasma Membrane Vesicles Derived From Embryonic Cortical Neurons Of Rat,,NIL,,CLO:0009771,CLO:0009771
Glial,,NIL,,CLO:0000158,CLO:0000158
Gram-positive bacterias,,NIL,,CLO:0008426,CLO:0008426
H1299 cells,NCI-H1299 cell,CLO:0007986,,CLO:0007986,CLO:0007986
H1650,NCI-H1650 cell,CLO:0008007,,CLO:0008007,CLO:0008007
H2122,NCI-H2122 cell,CLO:0008055,,CLO:0008055,CLO:0008055
HASMCs,,NIL,,CLO:0037094,CLO:0009561
HUVEC cells,HUV-EC-C cell,CLO:0004307,,CLO:0004307,CLO:0000780
HUVEC/U87 Cell Coculture Model,U-87 MG cell,CLO:0009464,,CLO:0009463,CLO:0009463
HUVECs Cells,HUV-EC-C cell,CLO:0004307,,CLO:0002881,CLO:0000780
Hacat Cell Lines,immortal keratinocyte cell line cell,CLO:0000138,,CLO:0000138,CLO:0000138
Hbmec Cell Monolayer,,NIL,,CLO:0002881,CLO:0004307
HeLa Cells (Expressing Gfp 1â10),HeLa cell,CLO:0003684,CLO:0003684,CLO:0003684,CLO:0003684
HeLa Kyoto Cells,HeLa cell,CLO:0003684,CLO:0003684,CLO:0003684,CLO:0003684
HeLa cell,HeLa cell,CLO:0003684,CLO:0003684,CLO:0003684,CLO:0003684
Hff,HFF-1 cell,CLO:0003730,,CLO:0003731,CLO:0003731
Hpdls,,NIL,,CLO:0002789,CLO:0002789
Ht-1080 (Human Fibrosarcoma) Cells,HT 1080 cell,CLO:0004266,CLO:0004276,CLO:0004276,CLO:0004276
Ht1082,HT 1080 cell,CLO:0004266,,CLO:0004274,CLO:0004274
HuH7 cells,Huh7 cell,CLO:0009989,CLO:0009989,CLO:0009989,CLO:0009989
Human Primary Fibroblasts,primary cultured human fibroblast cell,CLO:0037302,,CLO:0037302,CLO:0037302
Human tongue squamous cell carcinoma (SCC) CAL 27,CAL 27 cell,CLO:0002178,,CLO:0002182,CLO:0002182
Infected With S. Agalactiae H93,,NIL,,CLO:0003444,CLO:0003444
Intestine (Caco-2 Assay),Caco-2 cell,CLO:0002172,,CLO:0002172,CLO:0002172
Intralobar (Ilb) Airway Epithelial Cells,,NIL,,CLO:0000137,CLO:0000137
Jurkat E6 cells,JURKAT cell,CLO:0007043,CLO:0007043,CLO:0007043,CLO:0007043
Leaves Of Wild-Type,,NIL,,CLO:0000141,CLO:0000141
Listeria Monocytogenes,,NIL,,CLO:0007348,CLO:0007348
MDA-MB 231,MDA-MB-231 cell,CLO:0007634,,CLO:0007634,CLO:0007634
MDA-MB-231 cells,MDA-MB-231 cell,CLO:0007634,CLO:0007634,CLO:0007634,CLO:0007634
MDA-MB233,MDA-MB-231 cell,CLO:0007634,,CLO:0037291,CLO:0037291
MDAâMBâ231,MDA-MB-231 cell,CLO:0007634,,CLO:0023774,CLO:0023774
MDCKII cells,MDCK-II cell,CLO:0037460,,CLO:0037460,CLO:0037460
Mdck,MDCK cell,CLO:0007646,CLO:0007646,CLO:0007646,CLO:0007646
Mgc80-3,,NIL,,CLO:0004125,CLO:0004125
Molm-13,MOLM-13 cell,CLO:0009848,CLO:0009848,CLO:0009848,CLO:0009848
Molt-4,MOLT-4 cell,CLO:0007825,CLO:0007825,CLO:0007825,CLO:0007825
Mouse Embryo Fibroblasts (Mefs),primary cultured human fibroblast cell,CLO:0037302,CLO:0007836,CLO:0007836,CLO:0007836
Mrc5 Cells,MRC-5 cell,CLO:0007865,,CLO:0007865,CLO:0007865
Murine B16F1 melanoma tumor cells,B16-F1 cell,CLO:0001793,,CLO:0001793,CLO:0001793
NCCIT cell line,NCCIT cell,CLO:0007955,CLO:0007955,CLO:0007955,CLO:0007955
Nicotiana Benthamiana Leaves,,NIL,,CLO:0002012,CLO:0002012
Ocm-1 Cells,,NIL,,CLO:0037145,CLO:0037145
Ode Vaccine Cell Line,,NIL,,CLO:0000741,CLO:0008237
Olfactory Mucosa Cell Monolayer,immortal mucosa-derived cell line cell,CLO:0000322,,CLO:0008259,CLO:0008259
P. Berghei (Pb),,NIL,,CLO:0037278,CLO:0037278
P5 DRG neurons,,NIL,,CLO:0007191,CLO:0007191
PC-3 cells,PC-3 cell,CLO:0008395,CLO:0008395,CLO:0008395,CLO:0008395
PC-3M-2B4 cells,PC-3 cell,CLO:0008395,,CLO:0008394,CLO:0008395
PC3 Cells,PC-3 cell,CLO:0008395,,CLO:0008395,CLO:0008395
Plasmodium Berghei,,NIL,,CLO:0037278,CLO:0037278
Primary Mouse Embryo Fibroblasts (MEFs),primary cultured human fibroblast cell,CLO:0037302,,CLO:0007666,CLO:0007666
Promastigotes L. (L.) Amazonensis Ph8,,NIL,,CLO:0007349,CLO:0007349
R3 Cells.,R3 [33-10ras3] cell,CLO:0008713,,CLO:0008713,CLO:0008713
RAW 264.7 Mcherry Cells,RAW 264.7 cell,CLO:0008753,CLO:0008753,CLO:0008753,CLO:0008753
Rat Primary Neurons From 18-Day-Old Wistar Rat Embryos (E18),immortal rat neuron cell line cell,CLO:0000664,,CLO:0000664,CLO:0007919
Rat embryonic neurons,immortal rat neuron cell line cell,CLO:0000664,,CLO:0000664,CLO:0000664
S. Pyogenes,,NIL,,CLO:0008674,CLO:0008674
SUIT-2,SUIT-2 cell,CLO:0037114,CLO:0037114,CLO:0037114,CLO:0037114
Scat,,NIL,,CLO:0037318,CLO:0037318
Sco2/Cox-Deficient Fibroblasts,,NIL,,CLO:0000339,CLO:0000161
Sgc-7901 Cells.,,NIL,,CLO:0004124,CLO:0004124
Sgc7901 Cell,,NIL,,CLO:0016035,CLO:0016035
Sk-Hep-1 Cells,SK-HEP-1 cell,CLO:0009037,CLO:0009037,CLO:0009037,CLO:0009037
Smmc-7721,,NIL,,CLO:0009078,CLO:0009078
Smmc-7723,,NIL,,CLO:0009078,CLO:0009078
Standard,,NIL,,CLO:0000078,CLO:0000078
Staphylococcus Atcc 33591,,NIL,,CLO:0009075,CLO:0009075
T98,T 98 G cell,CLO:0009236,,CLO:0009258,CLO:0009258
THP-1-Derived Macrophages,THP-1 cell,CLO:0009348,,CLO:0009348,CLO:0009348
The Gag-Deficient CHO Cells (Pgsa-745),pgsA-745 cell,CLO:0008434,,CLO:0008434,CLO:0008434
Tko-Mef Cells,,NIL,,CLO:0001349,CLO:0001349
U 87,U-87 MG cell,CLO:0009464,CLO:0009449,CLO:0009449,CLO:0009449
U-251Mg,U-251 MG cell,CLO:0009456,,CLO:0009456,CLO:0009456
U-87 Cell Line,U-87 MG cell,CLO:0009464,,CLO:0009464,CLO:0009464
U266 Mm Cells,U-266 cell,CLO:0009457,,CLO:0009458,CLO:0009458
Umuc3,UM-UC-3 cell,CLO:0009487,,CLO:0009487,CLO:0009487
Undifferentiated malignant glioma rat (F98) cell line,F98 cell,CLO:0002992,,CLO:0002992,CLO:0002992
V79 cells,V-79 cell,CLO:0009500,,CLO:0009504,CLO:0009504
Wild-Type E. Coli Cells,,NIL,,CLO:0006986,CLO:0006986
hCMEC/D3 Cells),D3 cell,CLO:0002675,,CLO:0001928,CLO:0001928
mouse embryonic fibroblast (MEF),primary cultured human fibroblast cell,CLO:0037302,CLO:0007836,CLO:0007836,CLO:0007836
mouse embryonic fibroblast 3T3,NIH-3T3 cell,CLO:0008172,CLO:0007836,CLO:0007836,CLO:0007836
the neuroblastoma cell line (SK-N-SH),SK-N-SH cell,CLO:0009059,,CLO:0009059,CLO:0009059
102R,,NIL,,CLO:0008878,CLO:0008878
16-Hbe Cells,,NIL,,CLO:0002938,CLO:0002938
293A Cells,293-derived cell,CLO:0037237,,CLO:0037237,CLO:0037237
3T3-SV-40,3T3-SV40 cell,CLO:0001354,CLO:0001354,CLO:0001354,CLO:0001354
95D,,NIL,,CLO:0009521,CLO:0009521
A172 Cells,A172 cell,CLO:0001560,CLO:0001560,CLO:0001560,CLO:0001560
Bacterial Cells Of S. Aureus,,NIL,,CLO:0003794,CLO:0003794
Balb/c 3T3 cells,BALB/3T3 clone A31 cell,CLO:0001859,,CLO:0009227,CLO:0009227
Bc 5637 Cells,5637 cell,CLO:0001421,,CLO:0001421,CLO:0001421
Boar Sperm,,NIL,,CLO:0000090,CLO:0000090
Bovine chondriocytes,,NIL,,CLO:0000453,CLO:0000453
Bt-549,BT-549 cell,CLO:0002044,CLO:0002044,CLO:0002044,CLO:0002044
C6 Cell Line,C6 cell,CLO:0002140,CLO:0002140,CLO:0002140,CLO:0002140
C8-D1A Cells,C8-D1A cell,CLO:0002155,CLO:0002155,CLO:0002155,CLO:0002155
CHO A745,pgsA-745 cell,CLO:0008434,CLO:0002421,CLO:0002421,CLO:0002421
Capan-1,Capan-1 cell,CLO:0002197,CLO:0002197,CLO:0002197,CLO:0002197
Cd4+ T Cells,,NIL,,CLO:0008253,CLO:0008253
Colo201,COLO 201 cell,CLO:0002543,,CLO:0002556,CLO:0002543
Dc2.4,,NIL,,CLO:0002727,CLO:0002727
Dendritic Cells,,NIL,,CLO:0000103,CLO:0000103
Du 145 Huv-Ec-C,HUV-EC-C cell,CLO:0004307,CLO:0002840,CLO:0002840,CLO:0002840
E.Coli,,NIL,,CLO:0002878,CLO:0002878
ECV-304,ECV304 cell,CLO:0002881,CLO:0002882,CLO:0002882,CLO:0002882
Erwinia Persicina,,NIL,,CLO:0001136,CLO:0001136
Gastric Cancer Cell Lines (Nugc-3,NUGC-3 cell,CLO:0037144,,CLO:0037144,CLO:0037144
H9C2 Cell,H9c2(2-1) cell,CLO:0003614,,CLO:0003614,CLO:0003614
HBCEC,,NIL,,CLO:0037358,CLO:0037358
HDFa,,NIL,,CLO:0003223,CLO:0003223
HEK293(3),HEK293,CLO:0001230,,CLO:0001230,CLO:0001230
HFL-1,HFL cell,CLO:0003733,,CLO:0003730,CLO:0003734
Hce-T Cells,,NIL,,CLO:0007714,CLO:0007714
Hct116 Crc,HCT 116 cell,CLO:0003665,,CLO:0009221,CLO:0003665
HeLa Ccl-2 Cells,HeLa cell,CLO:0003684,CLO:0003684,CLO:0003684,CLO:0003684
HeLa-EGFP654 Cells,HeLa cell,CLO:0003684,,CLO:0017400,CLO:0017400
HeLa-Pluc705 Cells,HeLa cell,CLO:0003684,,CLO:0004004,CLO:0004004
HeLa-Rps9Sbp,HeLa cell,CLO:0003684,,CLO:0007222,CLO:0007222
HepG4,Hep G2 cell,CLO:0003704,,CLO:0003710,CLO:0003710
Hepatocytes,Hep G2 cell,CLO:0003704,,CLO:0037329,CLO:0037329
Hepg2 Liver Cancer Cells,Hep G2 cell,CLO:0003704,,CLO:0003704,CLO:0003704
Het1A,Het-1A cell,CLO:0003718,,CLO:0003718,CLO:0003718
Ht-29-Nf-Îb-Hrgfp E5 Cells,HT-29 cell,CLO:0004283,,CLO:0004282,CLO:0004281
Ht29 Cell,HT-29 cell,CLO:0004283,CLO:0004283,CLO:0004285,CLO:0004283
Ht29 Cells,HT-29 cell,CLO:0004283,,CLO:0004285,CLO:0004283
Human Mesenchymal Stem Cells (Mscs) Cells,,NIL,,CLO:0037305,CLO:0037305
Human Peritoneal Mesothelial Cells (Hpmcs),,NIL,,CLO:0000088,CLO:0000088
Human Sperm Cells,,NIL,,CLO:0000090,CLO:0000090
Human embryonic kidney (HEK 293),HEK293,CLO:0001230,,CLO:0001230,CLO:0001230
L. Monocytogenes Strain,,NIL,,CLO:0007339,CLO:0007339
Large Unilamellar Vesicles (Luvs).,,NIL,,CLO:0007415,CLO:0007415
Lo2 Normal Liver Cells,,NIL,,CLO:0007374,CLO:0007374
MCF 10A,MCF 10A cell,CLO:0007599,CLO:0007599,CLO:0007599,CLO:0007599
MCF-7 Cell Line,MCF7 cell,CLO:0007606,,CLO:0007605,CLO:0007606
MCF-8,MCF7 cell,CLO:0007606,,CLO:0007605,CLO:0007605
MDA-MB-435 cells,MDA-MB-436 cell,CLO:0007639,CLO:0007638,CLO:0007638,CLO:0007638
Mb49 Cells,,NIL,,CLO:0007782,CLO:0007782
Mcr-5,,NIL,,CLO:0007617,CLO:0007617
Mia PaCa-2,MIA PaCa-2 cell,CLO:0007726,CLO:0007726,CLO:0007726,CLO:0007726
Mia Paca-2,MIA PaCa-2 cell,CLO:0007726,CLO:0007726,CLO:0007726,CLO:0007726
Mia-Paca-2 Cell Line,MIA PaCa-2 cell,CLO:0007726,,CLO:0007726,CLO:0007726
MiaPaCa-2 cells,MIA PaCa-2 cell,CLO:0007726,CLO:0007726,CLO:0007726,CLO:0007726
Mouse Brain Endothelial (bEnd.3) Cells.,bEnd.3 cell,CLO:0001928,CLO:0007836,CLO:0007836,CLO:0007836
Mouse Escs,,NIL,CLO:0007836,CLO:0007836,CLO:0007836
Mouse macrophage-like cell line J774 A.10,J774A.1 cell,CLO:0007005,CLO:0007836,CLO:0007836,CLO:0007836
Mouse macrophage-like cell line J774 A.3,J774 cell,CLO:0007003,CLO:0007836,CLO:0007836,CLO:0007836
Mouse macrophage-like cell line J774 A.4,J774 cell,CLO:0007003,CLO:0007836,CLO:0007836,CLO:0007836
Murine brain microvascular endothelial cells (BMVECs),,NIL,,CLO:0000742,CLO:0009785
Murine glioma cells (C6),C6 cell,CLO:0002140,,CLO:0002140,CLO:0002140
NIH 3T3 fibroblasts,NIH-3T3 cell,CLO:0008172,,CLO:0008172,CLO:0008172
Neuronal Cells.,immortal neuron cell line cell,CLO:0000081,,CLO:0000081,CLO:0000081
Nhas Cells,,NIL,,CLO:0008169,CLO:0008169
Nhlf,,NIL,,CLO:0037218,CLO:0037218
Npe,,NIL,,CLO:0008192,CLO:0008192
Nsc34 Cells,,NIL,,CLO:0009004,CLO:0009004
P. Aeruginosa,,NIL,,CLO:0020817,CLO:0020817
PC-3 human prostate cancerand NCTC-929 murine fibroblast cell lines,PC-3 cell,CLO:0008395,CLO:0008395,CLO:0008395,CLO:0008395
Pc12 Cell,PC-12 cell,CLO:0008392,CLO:0008392,CLO:0008393,CLO:0008392
Persister-Derived Bioflm Of C. Albicans,,NIL,,CLO:0003246,CLO:0003246
Porcine Buccal Tissues.,,NIL,,CLO:0000744,CLO:0000744
Primary Fibroblast Cells,primary cultured human fibroblast cell,CLO:0037302,,CLO:0037301,CLO:0037301
Primary Glial,,NIL,,CLO:0000158,CLO:0000158
Primary Myocardium Cells(Mcs),,NIL,,CLO:0037325,CLO:0037325
Primary Rat Neurons,immortal rat neuron cell line cell,CLO:0000664,,CLO:0000664,CLO:0000664
RAW264.7 Macrophage,RAW 264.7 cell,CLO:0008753,,CLO:0008753,CLO:0008753
Rat Primary Hippocampal Neuronal Cells,immortal rat neuron cell line cell,CLO:0000664,,CLO:0000664,CLO:0000664
Rottlerin-Treated A431 Cells,A431 cell,CLO:0001591,,CLO:0001593,CLO:0001591
SKBR3 Cells,SKBR3 cell,CLO:0037295,CLO:0037295,CLO:0037295,CLO:0037295
Serratia Grimesii,,NIL,,CLO:0014761,CLO:0014761
Sk-N-Sh Neuroblastoma Cells,SK-N-SH cell,CLO:0009059,CLO:0009059,CLO:0009059,CLO:0009059
Smmc-7721 Cells (3D Mcts),,NIL,,CLO:0000198,CLO:0000198
Surgical Biopsy Specimens,,NIL,,CLO:0037339,CLO:0037339
Svz-Egfrviii,,NIL,,CLO:0037276,CLO:0037276
Svz-Egfrwt,,NIL,,CLO:0008170,CLO:0008170
Swine Testis Cells (St,,NIL,,CLO:0009141,CLO:0009141
Te-1,TE cell,CLO:0009287,,CLO:0009314,CLO:0009314
Te-15,TE cell,CLO:0009287,,CLO:0009311,CLO:0009311
Tissue From Autoptic Human Brains,,NIL,,CLO:0000159,CLO:0037340
Trabulsiella Guamensis,,NIL,,CLO:0002403,CLO:0002403
Triticum Aestivum Mesophyll Protoplasts,,NIL,,CLO:0001728,CLO:0001728
U373MG Cells,U-373 MG cell,CLO:0009461,,CLO:0009460,CLO:0009460
U87-Mg Cells,U-87 MG cell,CLO:0009464,,CLO:0009463,CLO:0009463
Vrsa( Van-Resistant Enterococcus Faecalis),,NIL,,CLO:0002556,CLO:0002556
Weighing About 200 Lb),,NIL,,CLO:0009379,CLO:0009379
mouse embryonic fibroblasts (MEFs),primary cultured human fibroblast cell,CLO:0037302,CLO:0007836,CLO:0007836,CLO:0007836
rat IEC-6 cells,IEC-6 cell,CLO:0004342,,CLO:0004342,CLO:0004342
