Cell Line,CLO_ID,exact_curie,exact_label,exact_score,exact_match_type,biosyn_curie,biosyn_label,biosyn_score,biosyn_match_type,rag_curie,rag_label,rag_score,rag_match_type
A2780_shMBD3.232,CLO_0001571,CLO:0001571,A2780 cell,1.0,prefix_truncated,CLO:0001571,A2780 cell,1.0,prefix_truncated,CLO:0001571,A2780 cell,1.0,prefix_truncated
A2780_shMBD3.26,CLO_0001571,CLO:0001571,A2780 cell,1.0,prefix_truncated,CLO:0001571,A2780 cell,1.0,prefix_truncated,CLO:0001571,A2780 cell,1.0,prefix_truncated
A2780_shRen,CLO_0001571,CLO:0001571,A2780 cell,1.0,prefix_truncated,CLO:0001571,A2780 cell,1.0,prefix_truncated,CLO:0001571,A2780 cell,1.0,prefix_truncated
A2780cis,CLO_0001573,CLO:0001573,A2780cis cell,1.0,exact_pref,CLO:0001573,A2780cis cell,1.0,exact_pref,CLO:0001573,A2780cis cell,1.0,exact_pref
A375,CLO_0001582,,,0.0,NIL,CLO:0001581,obsolete: A375 cell,0.8456,dense_nn,CLO:0001581,obsolete: A375 cell,0.8456,rag_selected
A-375,CLO_0001582,CLO:0001582,A-375 cell,1.0,exact_pref,CLO:0001582,A-375 cell,1.0,exact_pref,CLO:0001582,A-375 cell,1.0,exact_pref
A375 DMSO,CLO_0001582,,,0.0,NIL,CLO:0001583,A375.S2 cell,0.8068,dense_nn,CLO:0001583,A375.S2 cell,0.8068,rag_selected
A375 RTKi,CLO_0001582,,,0.0,NIL,CLO:0001581,obsolete: A375 cell,0.8096,dense_nn,CLO:0001581,obsolete: A375 cell,0.8096,rag_selected
A375_DMSO,CLO_0001582,,,0.0,NIL,CLO:0001583,A375.S2 cell,0.8068,dense_nn,CLO:0001583,A375.S2 cell,0.8068,rag_selected
A375_malignant_melanoma,CLO_0001582,,,0.0,NIL,CLO:0001581,obsolete: A375 cell,0.8652,dense_nn,CLO:0001581,obsolete: A375 cell,0.8652,rag_selected
A375_malignant_melanoma_A771726,CLO_0001582,,,0.0,NIL,CLO:0001560,A172 cell,0.63,dense_nn,CLO:0001560,A172 cell,0.63,rag_abstained
A375_malignant_melanoma_DMSO,CLO_0001582,,,0.0,NIL,CLO:0001581,obsolete: A375 cell,0.753,dense_nn,CLO:0001583,A375.S2 cell,0.7276,rag_selected
A431,CLO_0001591,CLO:0001591,A431 cell,1.0,exact_pref,CLO:0001591,A431 cell,1.0,exact_pref,CLO:0001591,A431 cell,1.0,exact_pref
A549,CLO_0001601,CLO:0001601,A549 cell,1.0,exact_pref,CLO:0001601,A549 cell,1.0,exact_pref,CLO:0001601,A549 cell,1.0,exact_pref
A-549,CLO_0001601,,,0.0,NIL,CLO:0002044,BT-549 cell,0.6825,dense_nn,CLO:0002044,BT-549 cell,0.6825,rag_selected
A549 DMSO,CLO_0001601,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated
A549 EtOH 0.02pct lung carcinoma,CLO_0001601,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated
A549 EtOH 0.02pct Lung Carcinoma Cell Line,CLO_0001601,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated
A549 FOXA2 overexpressed,CLO_0001601,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated
A549 FOXA2 shRNA2,CLO_0001601,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated
A549 GFP control,CLO_0001601,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated
A549 shRNA control,CLO_0001601,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated
A549 TEAD2 shRNA TGFb,CLO_0001601,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated
A549 TEAD4 shRNA TGFb,CLO_0001601,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated
A549 TGFb,CLO_0001601,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated
A549_0h_only,CLO_0001601,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated
A549_0h_sciCAR,CLO_0001601,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated
A549_1,CLO_0001601,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated
A549_1h_only,CLO_0001601,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated
A549_1h_sciCAR,CLO_0001601,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated
A549_3h_only,CLO_0001601,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated
A549_3h_sciCAR,CLO_0001601,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated
A549_dexamethasone_0.5h,CLO_0001601,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated
A549_dexamethasone_12h,CLO_0001601,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated
A549_dexamethasone_1h,CLO_0001601,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated
A549_dexamethasone_2h,CLO_0001601,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated
A549_dexamethasone_3h,CLO_0001601,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated
A549_dexamethasone_4h,CLO_0001601,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated
A549_dexamethasone_5h,CLO_0001601,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated
A549_dexamethasone_6h,CLO_0001601,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated
A549_dexamethasone_7h,CLO_0001601,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated
A549_dexamethasone_8h,CLO_0001601,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated
A549_Dex-treated,CLO_0001601,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated
A549_ethanol_1h,CLO_0001601,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated
A549_EtOH_0.02pct_Lung_Carcinoma,CLO_0001601,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated
A549_lung_carcinoma,CLO_0001601,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated
A549_TGFBeta_72h,CLO_0001601,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated,CLO:0001601,A549 cell,1.0,prefix_truncated
A673,CLO_0001605,CLO:0001605,A673 cell,1.0,exact_pref,CLO:0001605,A673 cell,1.0,exact_pref,CLO:0001605,A673 cell,1.0,exact_pref
A-673,CLO_0001605,CLO:0001606,A-673 cell,1.0,exact_pref,CLO:0001606,A-673 cell,1.0,exact_pref,CLO:0001606,A-673 cell,1.0,exact_pref
A673 STAG2 null,CLO_0001605,CLO:0001605,A673 cell,1.0,prefix_truncated,CLO:0001605,A673 cell,1.0,prefix_truncated,CLO:0001605,A673 cell,1.0,prefix_truncated
A673 STAG2 WT,CLO_0001605,CLO:0001605,A673 cell,1.0,prefix_truncated,CLO:0001605,A673 cell,1.0,prefix_truncated,CLO:0001605,A673 cell,1.0,prefix_truncated
A673/TR/shEF1 Cells,CLO_0001605,,,0.0,NIL,CLO:0037118,A373-C6 cell,0.8053,dense_nn,CLO:0001605,A673 cell,0.8021,rag_selected
A-673_clone_Asp114_Ewing_sarcoma,CLO_0001605,CLO:0001606,A-673 cell,1.0,prefix_truncated,CLO:0001606,A-673 cell,1.0,prefix_truncated,CLO:0001606,A-673 cell,1.0,prefix_truncated
A673_Ewing_sarcoma,CLO_0001605,CLO:0001605,A673 cell,1.0,prefix_truncated,CLO:0001605,A673 cell,1.0,prefix_truncated,CLO:0001605,A673 cell,1.0,prefix_truncated
A673_SA2 Rescue,CLO_0001605,CLO:0001605,A673 cell,1.0,prefix_truncated,CLO:0001605,A673 cell,1.0,prefix_truncated,CLO:0001605,A673 cell,1.0,prefix_truncated
A673_WT,CLO_0001605,CLO:0001605,A673 cell,1.0,prefix_truncated,CLO:0001605,A673 cell,1.0,prefix_truncated,CLO:0001605,A673 cell,1.0,prefix_truncated
A-673-clone-Asp114,CLO_0001605,,,0.0,NIL,CLO:0001606,A-673 cell,0.684,dense_nn,CLO:0001606,A-673 cell,0.684,rag_selected
acantholytic squamous carcinoma cell line:HCC1806,CLO_0003644,,,0.0,NIL,CLO:0003644,HCC1806 cell,0.8501,dense_nn,CLO:0003644,HCC1806 cell,0.8501,rag_selected
ACC-MESO-1,CLO_0050082,,,0.0,NIL,CLO:0001645,AC-1M46 cell,0.6069,dense_nn,CLO:0001645,AC-1M46 cell,0.6069,rag_selected
ACC-MESO-4,CLO_0050083,,,0.0,NIL,CLO:0001073,132C4A/4 cell,0.6139,dense_nn,CLO:0001073,132C4A/4 cell,0.6139,rag_selected
acute lymphoblastic leukemia (B-ALL) cell line:BALL-1,CLO_0037300,,,0.0,NIL,CLO:0037300,BALL-1 cell,0.8311,dense_nn,CLO:0037300,BALL-1 cell,0.8311,rag_selected
acute lymphoblastic leukemia (B-ALL) cell line:NALM-6,CLO_0007938,,,0.0,NIL,CLO:0007938,NALM-6 cell,0.8264,dense_nn,CLO:0007938,NALM-6 cell,0.8264,rag_selected
acute lymphoblastic leukemia (T-ALL) cell line:HPB-ALL,CLO_0003817,,,0.0,NIL,CLO:0003817,HPB-ALL cell,0.8171,dense_nn,CLO:0003817,HPB-ALL cell,0.8171,rag_selected
acute lymphoblastic leukemia (T-ALL) cell line:Jurkat,CLO_0007043,,,0.0,NIL,CLO:0007043,JURKAT cell,0.9057,dense_nn,CLO:0007043,JURKAT cell,0.9057,rag_selected
acute myeloid leukemia (FAB M0) cell line:KG-1,CLO_0007093,,,0.0,NIL,CLO:0007094,KG-1 cell,0.8266,dense_nn,CLO:0007094,KG-1 cell,0.8266,rag_selected
acute myeloid leukemia (FAB M1) cell line:HYT-1,CLO_0051543,,,0.0,NIL,CLO:0003621,HAP-T1 cell,0.7129,dense_nn,CLO:0003621,HAP-T1 cell,0.7129,rag_selected
acute myeloid leukemia (FAB M2) cell line:Kasumi-1,CLO_0007069,,,0.0,NIL,CLO:0007069,Kasumi-1 cell,0.8869,dense_nn,CLO:0007069,Kasumi-1 cell,0.8869,rag_selected
acute myeloid leukemia (FAB M2) cell line:Kasumi-6,CLO_0007072,,,0.0,NIL,CLO:0007072,Kasumi-6 cell,0.8724,dense_nn,CLO:0007072,Kasumi-6 cell,0.8724,rag_selected
acute myeloid leukemia (FAB M2) cell line:NKM-1,CLO_0009850,,,0.0,NIL,CLO:0009850,NKM-1 cell,0.8524,dense_nn,CLO:0009850,NKM-1 cell,0.8524,rag_selected
acute myeloid leukemia (FAB M3) cell line:HL60,CLO_0003775,,,0.0,NIL,CLO:0003780,HL60 M4 cell,0.8789,dense_nn,CLO:0003775,HL-60 cell,0.8674,rag_selected
acute myeloid leukemia (FAB M4) cell line:FKH-1,CLO_0050983,,,0.0,NIL,CLO:0001675,AF3-12.1.3 cell,0.7109,dense_nn,CLO:0001675,AF3-12.1.3 cell,0.7109,rag_selected
acute myeloid leukemia (FAB M4) cell line:HNT-34,CLO_0050982,,,0.0,NIL,CLO:0001939,BF-34 cell,0.7128,dense_nn,CLO:0001939,BF-34 cell,0.7128,rag_selected
acute myeloid leukemia (FAB M4eo) cell line:EoL-1,CLO_0002932,,,0.0,NIL,CLO:0002932,EOL-1 cell,0.8207,dense_nn,CLO:0002932,EOL-1 cell,0.8207,rag_selected
acute myeloid leukemia (FAB M4eo) cell line:EoL-3,CLO_0050997,,,0.0,NIL,CLO:0002932,EOL-1 cell,0.741,dense_nn,CLO:0002932,EOL-1 cell,0.741,rag_selected
acute myeloid leukemia (FAB M5) cell line:NOMO-1,CLO_0009851,,,0.0,NIL,CLO:0009851,NOMO-1 cell,0.7663,dense_nn,CLO:0009851,NOMO-1 cell,0.7663,rag_selected
acute myeloid leukemia (FAB M5) cell line:P31/FUJ,CLO_0009855,,,0.0,NIL,CLO:0009855,P31/FUJ cell,0.7618,dense_nn,CLO:0009855,P31/FUJ cell,0.7618,rag_selected
acute myeloid leukemia (FAB M5) cell line:THP-1 (fresh),CLO_0009348,,,0.0,NIL,CLO:0009348,THP-1 cell,0.7622,dense_nn,CLO:0009348,THP-1 cell,0.7622,rag_selected
acute myeloid leukemia (FAB M5) cell line:THP-1 (revived),CLO_0009348,,,0.0,NIL,CLO:0009348,THP-1 cell,0.7837,dense_nn,CLO:0009348,THP-1 cell,0.7837,rag_selected
acute myeloid leukemia (FAB M5) cell line:THP-1 (thawed),CLO_0009348,,,0.0,NIL,CLO:0009348,THP-1 cell,0.8202,dense_nn,CLO:0009348,THP-1 cell,0.8202,rag_selected
acute myeloid leukemia (FAB M5) cell line:U-937 DE-4,CLO_0050122,,,0.0,NIL,CLO:0009465,U-937 cell,0.7734,dense_nn,CLO:0009465,U-937 cell,0.7734,rag_selected
acute myeloid leukemia (FAB M6) cell line:EEB,CLO_0051023,,,0.0,NIL,CLO:0037379,mouse erythroleukemia cell line cell,0.663,dense_nn,CLO:0037379,mouse erythroleukemia cell line cell,0.663,rag_selected
acute myeloid leukemia (FAB M6) cell line:F-36E,CLO_0051545,,,0.0,NIL,CLO:0001316,36F-18C cell,0.6988,dense_nn,CLO:0001316,36F-18C cell,0.6988,rag_abstained
acute myeloid leukemia (FAB M6) cell line:F-36P,CLO_0051549,,,0.0,NIL,CLO:0001316,36F-18C cell,0.7216,dense_nn,CLO:0001316,36F-18C cell,0.7216,rag_abstained
acute myeloid leukemia (FAB M7) cell line:M-MOK,CLO_0051548,,,0.0,NIL,CLO:0007485,M-7 cell,0.7083,dense_nn,CLO:0007485,M-7 cell,0.7083,rag_selected
adrenal cortex adenocarcinoma cell line:SW-13,CLO_0009209,,,0.0,NIL,CLO:0009209,SW-13 cell,0.8494,dense_nn,CLO:0009209,SW-13 cell,0.8494,rag_selected
adult T-cell leukemia cell line:ATN-1,CLO_0050985,,,0.0,NIL,CLO:0001757,AT-1 cell,0.7751,dense_nn,CLO:0001757,AT-1 cell,0.7751,rag_selected
AG04449,CLO_0034837,CLO:0034837,AG04449 cell,1.0,exact_pref,CLO:0034837,AG04449 cell,1.0,exact_pref,CLO:0034837,AG04449 cell,1.0,exact_pref
AG04449_fibroblasts,CLO_0034837,CLO:0034837,AG04449 cell,1.0,prefix_truncated,CLO:0034837,AG04449 cell,1.0,prefix_truncated,CLO:0034837,AG04449 cell,1.0,prefix_truncated
AG09309,CLO_0021752,CLO:0021752,AG09309 cell,1.0,exact_pref,CLO:0021752,AG09309 cell,1.0,exact_pref,CLO:0021752,AG09309 cell,1.0,exact_pref
AG09309_fibroblasts,CLO_0021752,CLO:0021752,AG09309 cell,1.0,prefix_truncated,CLO:0021752,AG09309 cell,1.0,prefix_truncated,CLO:0021752,AG09309 cell,1.0,prefix_truncated
AG09319,CLO_0021754,CLO:0021754,AG09319 cell,1.0,exact_pref,CLO:0021754,AG09319 cell,1.0,exact_pref,CLO:0021754,AG09319 cell,1.0,exact_pref
AG09319_fibroblasts,CLO_0021754,CLO:0021754,AG09319 cell,1.0,prefix_truncated,CLO:0021754,AG09319 cell,1.0,prefix_truncated,CLO:0021754,AG09319 cell,1.0,prefix_truncated
AG10803,CLO_0021511,CLO:0021511,AG10803 cell,1.0,exact_pref,CLO:0021511,AG10803 cell,1.0,exact_pref,CLO:0021511,AG10803 cell,1.0,exact_pref
AG10803_fibroblasts,CLO_0021511,CLO:0021511,AG10803 cell,1.0,prefix_truncated,CLO:0021511,AG10803 cell,1.0,prefix_truncated,CLO:0021511,AG10803 cell,1.0,prefix_truncated
AGS,CLO_0001686,CLO:0001686,AGS cell,1.0,exact_pref,CLO:0001686,AGS cell,1.0,exact_pref,CLO:0001686,AGS cell,1.0,exact_pref
AGS_gastric_adenocarcinoma,CLO_0001686,CLO:0001686,AGS cell,1.0,prefix_truncated,CLO:0001686,AGS cell,1.0,prefix_truncated,CLO:0001686,AGS cell,1.0,prefix_truncated
alveolar cell carcinoma cell line:SW 1573,CLO_0009190,,,0.0,NIL,CLO:0009190,SW 1573 cell,0.83,dense_nn,CLO:0009190,SW 1573 cell,0.83,rag_selected
AN3 CA,CLO_0001722,CLO:0001722,AN3 CA cell,1.0,exact_pref,CLO:0001722,AN3 CA cell,1.0,exact_pref,CLO:0001722,AN3 CA cell,1.0,exact_pref
anaplastic carcinoma cell line:8305C,CLO_0001510,,,0.0,NIL,CLO:0001510,8305C cell,0.8256,dense_nn,CLO:0001510,8305C cell,0.8256,rag_selected
anaplastic squamous cell carcinoma cell line:RPMI 2650,CLO_0008876,,,0.0,NIL,CLO:0008869,RPMI 2650 cell,0.8163,dense_nn,CLO:0008869,RPMI 2650 cell,0.8163,rag_selected
ARH-77,CLO_0001745,CLO:0001745,ARH-77 cell,1.0,exact_pref,CLO:0001745,ARH-77 cell,1.0,exact_pref,CLO:0001745,ARH-77 cell,1.0,exact_pref
