entity_text,gold_id,ols_exact,ols_top
water,CHEBI:15377,CHEBI:15377,CHEBI:15377
inhibitor,CHEBI:35222,CHEBI:35222,CHEBI:35222
compound,CHEBI:36357,,CHEBI:139359
aldehyde,CHEBI:17478,CHEBI:17478,CHEBI:17478
inhibitor,CHEBI:35222,CHEBI:35222,CHEBI:35222
inhibitor,CHEBI:35222,CHEBI:35222,CHEBI:35222
inhibitor,CHEBI:35222,CHEBI:35222,CHEBI:35222
disulfide bond,CHEBI:29826,,CHEBI:233311
disulfide,CHEBI:29826,CHEBI:48343,CHEBI:48343
Side chains,CHEBI:50325,,CHEBI:144064
inhibitor,CHEBI:35222,CHEBI:35222,CHEBI:35222
inhibitors,CHEBI:35222,,CHEBI:62434
side chain,CHEBI:50325,,CHEBI:144064
oxyanion,CHEBI:35406,,
side chains,CHEBI:50325,,CHEBI:144064
solvent,CHEBI:46787,CHEBI:46787,CHEBI:46787
inhibitor,CHEBI:35222,CHEBI:35222,CHEBI:35222
inhibitor,CHEBI:35222,CHEBI:35222,CHEBI:35222
side chains,CHEBI:50325,,CHEBI:144064
inhibitor,CHEBI:35222,CHEBI:35222,CHEBI:35222
side chain,CHEBI:50325,,CHEBI:144064
side chains,CHEBI:50325,,CHEBI:144064
solvent,CHEBI:46787,CHEBI:46787,CHEBI:46787
atoms,CHEBI:33250,,CHEBI:233500
side chain,CHEBI:50325,,CHEBI:144064
amine,CHEBI:46882,CHEBI:32952,CHEBI:32952
groups,CHEBI:24433,,CHEBI:76727
side chain,CHEBI:50325,,CHEBI:144064
inhibitors,CHEBI:35222,,CHEBI:62434
amino group,CHEBI:46882,,CHEBI:76829
side chain,CHEBI:50325,,CHEBI:144064
inhibitors,CHEBI:35222,,CHEBI:62434
aldehyde,CHEBI:17478,CHEBI:17478,CHEBI:17478
ketone,CHEBI:17087,CHEBI:17087,CHEBI:17087
inhibitors,CHEBI:35222,,CHEBI:62434
groups,CHEBI:24433,,CHEBI:76727
inhibitors,CHEBI:35222,,CHEBI:62434
group,CHEBI:24433,CHEBI:24433,CHEBI:24433
inhibitors,CHEBI:35222,,CHEBI:62434
atomic,CHEBI:33250,,CHEBI:233500
atoms,CHEBI:33250,,CHEBI:233500
inhibitor,CHEBI:35222,CHEBI:35222,CHEBI:35222
inhibitor,CHEBI:35222,CHEBI:35222,CHEBI:35222
atomic,CHEBI:33250,,CHEBI:233500
side chains,CHEBI:50325,,CHEBI:144064
side chain,CHEBI:50325,,CHEBI:144064
atomic,CHEBI:33250,,CHEBI:233500
salt,CHEBI:24866,CHEBI:24866,CHEBI:24866
atomic,CHEBI:33250,,CHEBI:233500
inhibitors,CHEBI:35222,,CHEBI:62434
glycoprotein,CHEBI:17089,CHEBI:17089,CHEBI:17089
agarose,CHEBI:2511,CHEBI:2511,CHEBI:2511
dye,CHEBI:37958,CHEBI:37958,CHEBI:37958
fluorescent probe,CHEBI:39442,CHEBI:39442,CHEBI:39442
digoxigenin,CHEBI:42098,CHEBI:42098,CHEBI:42098
formamide,CHEBI:16397,CHEBI:16397,CHEBI:16397
digoxigenin,CHEBI:42098,CHEBI:42098,CHEBI:42098
ion,CHEBI:24870,CHEBI:24870,CHEBI:24870
messages,CHEBI:33695,,CHEBI:6783
message,CHEBI:33695,,CHEBI:6783
antigenic,CHEBI:59132,,CHEBI:82973
ion,CHEBI:24870,CHEBI:24870,CHEBI:24870
ion,CHEBI:24870,CHEBI:24870,CHEBI:24870
agarose,CHEBI:2511,CHEBI:2511,CHEBI:2511
32P,CHEBI:37972,,
SDS,CHEBI:8984,,CHEBI:8984
SDS,CHEBI:8984,,CHEBI:8984
CO2,CHEBI:16526,,CHEBI:141770
CO2,CHEBI:16526,,CHEBI:141770
cytosine arabinoside,CHEBI:28680,,CHEBI:181445
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
Triton X-100,CHEBI:9750,,
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
Alex 488,CHEBI:52661,,CHEBI:52953
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
glycerol,CHEBI:17754,CHEBI:17754,CHEBI:17754
pigmentary,CHEBI:26130,,
pigment,CHEBI:26130,,CHEBI:26130
pigment,CHEBI:26130,,CHEBI:26130
pigment,CHEBI:26130,,CHEBI:26130
pigmentary,CHEBI:26130,,
pigment,CHEBI:26130,,CHEBI:26130
pigment,CHEBI:26130,,CHEBI:26130
pigment,CHEBI:26130,,CHEBI:26130
pigment,CHEBI:26130,,CHEBI:26130
pigment,CHEBI:26130,,CHEBI:26130
eumelanin,CHEBI:24009,CHEBI:24009,CHEBI:24009
pheomelanin,CHEBI:81393,,
pigment,CHEBI:26130,,CHEBI:26130
pigment,CHEBI:26130,,CHEBI:26130
pigment,CHEBI:26130,,CHEBI:26130
pigment,CHEBI:26130,,CHEBI:26130
pigment,CHEBI:26130,,CHEBI:26130
pigment,CHEBI:26130,,CHEBI:26130
pheomelanin,CHEBI:81393,,
pigment,CHEBI:26130,,CHEBI:26130
pigment,CHEBI:26130,,CHEBI:26130
melanin,CHEBI:25179,CHEBI:89634,CHEBI:139155
DOPA,CHEBI:49168,CHEBI:49168,CHEBI:139339
DOPA,CHEBI:49168,CHEBI:49168,CHEBI:139339
melanin,CHEBI:25179,CHEBI:89634,CHEBI:139155
Melanin,CHEBI:25179,CHEBI:89634,CHEBI:89634
pigment,CHEBI:26130,,CHEBI:26130
pigment,CHEBI:26130,,CHEBI:26130
pigment,CHEBI:26130,,CHEBI:26130
melanin,CHEBI:25179,CHEBI:89634,CHEBI:139155
pigment,CHEBI:26130,,CHEBI:26130
pigment,CHEBI:26130,,CHEBI:26130
eumelanic,CHEBI:24009,,CHEBI:24009
pigment,CHEBI:26130,,CHEBI:26130
pigment,CHEBI:26130,,CHEBI:26130
eumelanin,CHEBI:24009,CHEBI:24009,CHEBI:24009
pheomelanin,CHEBI:81393,,
mannose-6-phosphate,CHEBI:17369,,CHEBI:17369
pigmentary,CHEBI:26130,,
pigment,CHEBI:26130,,CHEBI:26130
pigment,CHEBI:26130,,CHEBI:26130
Pigment,CHEBI:26130,,CHEBI:26130
X-Gal,CHEBI:75055,,CHEBI:148937
X-Gal,CHEBI:75055,,CHEBI:148937
pheomelanin,CHEBI:81393,,
eumelanin,CHEBI:24009,CHEBI:24009,CHEBI:24009
pigmentary,CHEBI:26130,,
pigment,CHEBI:26130,,CHEBI:26130
pigment,CHEBI:26130,,CHEBI:26130
pigment,CHEBI:26130,,CHEBI:26130
pigment,CHEBI:26130,,CHEBI:26130
pigment,CHEBI:26130,,CHEBI:26130
pigment,CHEBI:26130,,CHEBI:26130
pigment,CHEBI:26130,,CHEBI:26130
pigment,CHEBI:26130,,CHEBI:26130
pigment,CHEBI:26130,,CHEBI:26130
pigment,CHEBI:26130,,CHEBI:26130
pigmentary,CHEBI:26130,,
sodium bicarbonate,CHEBI:32139,,CHEBI:32139
hematoxylin,CHEBI:51686,,CHEBI:51686
DOPA,CHEBI:49168,CHEBI:49168,CHEBI:139339
sodium bromide,CHEBI:63004,CHEBI:63004,CHEBI:63004
L-DOPA,CHEBI:15765,CHEBI:15765,CHEBI:15765
sodium phosphate,CHEBI:37586,CHEBI:37586,CHEBI:37586
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
fixative,CHEBI:50913,CHEBI:50913,CHEBI:50913
hydroxysteroid,CHEBI:35350,,CHEBI:50788
hydroacid,CHEBI:24669,,
digoxigenin,CHEBI:42098,CHEBI:42098,CHEBI:42098
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
mannose-6-phosphate,CHEBI:17369,,CHEBI:17369
melanin,CHEBI:25179,CHEBI:89634,CHEBI:139155
DOPA,CHEBI:49168,CHEBI:49168,CHEBI:139339
DOPA,CHEBI:49168,CHEBI:49168,CHEBI:139339
X-Gal,CHEBI:75055,,CHEBI:148937
X-Gal,CHEBI:75055,,CHEBI:148937
reagents,CHEBI:33893,,CHEBI:67126
squalene,CHEBI:15440,CHEBI:15440,CHEBI:15440
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
surfactant,CHEBI:35195,CHEBI:35195,CHEBI:35195
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
sterol,CHEBI:15889,CHEBI:15889,CHEBI:15889
Cholesterol,CHEBI:16113,,CHEBI:144064
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
sterols,CHEBI:15889,,CHEBI:64696
phytosterols,CHEBI:26125,CHEBI:26125,CHEBI:26125
ergosterol,CHEBI:16933,CHEBI:16933,CHEBI:16933
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
sterols,CHEBI:15889,,CHEBI:64696
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
7-dehydrocholesterol,CHEBI:17759,,CHEBI:17759
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
squalene,CHEBI:15440,CHEBI:15440,CHEBI:15440
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
7-dehydrocholesterol,CHEBI:17759,,CHEBI:17759
7DHC,CHEBI:17759,,
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
inhibitors,CHEBI:35222,,CHEBI:62434
sterol,CHEBI:15889,CHEBI:15889,CHEBI:15889
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
H,CHEBI:51686,,
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
BrdU,CHEBI:472552,,CHEBI:472552
BrdU,CHEBI:472552,,CHEBI:472552
BrdU,CHEBI:472552,,CHEBI:472552
BrdU,CHEBI:472552,,CHEBI:472552
BrdU,CHEBI:472552,,CHEBI:472552
BrdU,CHEBI:472552,,CHEBI:472552
BrdU,CHEBI:472552,,CHEBI:472552
Sterol,CHEBI:15889,CHEBI:15889,CHEBI:64696
7-DHC,CHEBI:17759,,CHEBI:137061
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
sterols,CHEBI:15889,,CHEBI:64696
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
7-DHC,CHEBI:17759,,CHEBI:137061
sterols,CHEBI:15889,,CHEBI:64696
Sterol,CHEBI:15889,CHEBI:15889,CHEBI:64696
Sterol,CHEBI:15889,CHEBI:15889,CHEBI:64696
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
7DHC,CHEBI:17759,,
sterols,CHEBI:15889,,CHEBI:64696
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
sterols,CHEBI:15889,,CHEBI:64696
7DHC,CHEBI:17759,,
Cholesterol,CHEBI:16113,,CHEBI:144064
steroid hormone,CHEBI:26764,CHEBI:26764,CHEBI:26764
Steroids,CHEBI:35341,,CHEBI:50781
corticosteroids,CHEBI:50858,,CHEBI:50858
surfactant,CHEBI:35195,CHEBI:35195,CHEBI:35195
corticosterone,CHEBI:16827,CHEBI:16827,CHEBI:16827
corticosterone,CHEBI:16827,CHEBI:16827,CHEBI:16827
corticosterone,CHEBI:16827,CHEBI:16827,CHEBI:16827
corticosterone,CHEBI:16827,CHEBI:16827,CHEBI:16827
corticosterone,CHEBI:16827,CHEBI:16827,CHEBI:16827
surfactant,CHEBI:35195,CHEBI:35195,CHEBI:35195
Surfactant,CHEBI:35195,CHEBI:35195,CHEBI:35195
surfactant,CHEBI:35195,CHEBI:35195,CHEBI:35195
Surfactant,CHEBI:35195,CHEBI:35195,CHEBI:35195
surfactant,CHEBI:35195,CHEBI:35195,CHEBI:35195
surfactant,CHEBI:35195,CHEBI:35195,CHEBI:35195
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
molecule,CHEBI:36357,CHEBI:25367,CHEBI:25367
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
lipid,CHEBI:18059,CHEBI:18059,CHEBI:18059
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
lipid,CHEBI:18059,CHEBI:18059,CHEBI:18059
