entity_text,gold_id,bio_pref,bio_all
drug,CHEBI:23888,CHEBI:23888,CHEBI:23888
electron,CHEBI:10545,CHEBI:10545,CHEBI:10545
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
electron,CHEBI:10545,CHEBI:10545,CHEBI:10545
fixative,CHEBI:50913,CHEBI:50913,CHEBI:50913
glutaraldehyde,CHEBI:64276,CHEBI:64276,CHEBI:64276
sodium cacodylate,CHEBI:62956,,CHEBI:62956
glutaraldehyde,CHEBI:64276,CHEBI:64276,CHEBI:64276
sodium cacodylate,CHEBI:62956,,CHEBI:62956
Tris,CHEBI:9754,CHEBI:9754,CHEBI:82282;CHEBI:9754
Tris,CHEBI:9754,CHEBI:9754,CHEBI:82282;CHEBI:9754
NaCl,CHEBI:26710,,CHEBI:26710
lipid,CHEBI:18059,CHEBI:18059,CHEBI:18059
"1,1'-dioctadecyl-3,3,3',3'-tetramethylindocarbocyanine perchlorate",CHEBI:52029,CHEBI:49706,CHEBI:49706;CHEBI:52818
DiI,CHEBI:52029,,CHEBI:52029
DiIC18,CHEBI:52029,,CHEBI:52029
Tris,CHEBI:9754,CHEBI:9754,CHEBI:82282;CHEBI:9754
DiI,CHEBI:52029,,CHEBI:52029
electron,CHEBI:10545,CHEBI:10545,CHEBI:10545
glutaraldehyde,CHEBI:64276,CHEBI:64276,CHEBI:64276
sodium cacodylate,CHEBI:62956,,CHEBI:62956
water,CHEBI:15377,CHEBI:15377,CHEBI:15377
aqueous,CHEBI:15377,,
ethanol,CHEBI:16236,CHEBI:16236,CHEBI:16236
ethanol,CHEBI:16236,CHEBI:16236,CHEBI:16236
carbon dioxide,CHEBI:16526,CHEBI:16526,CHEBI:16526
electron,CHEBI:10545,CHEBI:10545,CHEBI:10545
DiI,CHEBI:52029,,CHEBI:52029
DiI,CHEBI:52029,,CHEBI:52029
DiI,CHEBI:52029,,CHEBI:52029
DiI,CHEBI:52029,,CHEBI:52029
lipid,CHEBI:18059,CHEBI:18059,CHEBI:18059
electron,CHEBI:10545,CHEBI:10545,CHEBI:10545
aqueous,CHEBI:15377,,
electron,CHEBI:10545,CHEBI:10545,CHEBI:10545
DiI,CHEBI:52029,,CHEBI:52029
DiI,CHEBI:52029,,CHEBI:52029
DiI,CHEBI:52029,,CHEBI:52029
DiI,CHEBI:52029,,CHEBI:52029
DiI,CHEBI:52029,,CHEBI:52029
DiA,CHEBI:52024,,CHEBI:52024
DiI,CHEBI:52029,,CHEBI:52029
DiA,CHEBI:52024,,CHEBI:52024
DiI,CHEBI:52029,,CHEBI:52029
DiI,CHEBI:52029,,CHEBI:52029
pentobarbital,CHEBI:7983,CHEBI:7983,CHEBI:7983
fixative,CHEBI:50913,CHEBI:50913,CHEBI:50913
DiI,CHEBI:52029,,CHEBI:52029
DiI,CHEBI:52029,,CHEBI:52029
dye,CHEBI:37958,CHEBI:37958,CHEBI:37958
DiI,CHEBI:52029,,CHEBI:52029
H2O2,CHEBI:16240,,CHEBI:16240
DiI,CHEBI:52029,,CHEBI:52029
DiA,CHEBI:52024,,CHEBI:52024
gelatin,CHEBI:5291,CHEBI:5291,CHEBI:5291
Cresyl Violet,CHEBI:52815,CHEBI:52815,CHEBI:52815
Ca2+,CHEBI:29108,,CHEBI:29108
phospholipid,CHEBI:16247,CHEBI:16247,CHEBI:16247
Ca2+,CHEBI:29108,,CHEBI:29108
Ca2+,CHEBI:29108,,CHEBI:29108
Ca2+,CHEBI:29108,,CHEBI:29108
phospholipid,CHEBI:16247,CHEBI:16247,CHEBI:16247
phospholipid,CHEBI:16247,CHEBI:16247,CHEBI:16247
Ca2+,CHEBI:29108,,CHEBI:29108
catecholamines,CHEBI:33567,,CHEBI:33567
Ca2+,CHEBI:29108,,CHEBI:29108
phospholipid,CHEBI:16247,CHEBI:16247,CHEBI:16247
negatively charged phospholipids,CHEBI:62643,,CHEBI:16247;CHEBI:29016
Ca2+ ions,CHEBI:29108,,CHEBI:24870;CHEBI:29108
Ca2+,CHEBI:29108,,CHEBI:29108
Ca2+,CHEBI:29108,,CHEBI:29108
lipid,CHEBI:18059,CHEBI:18059,CHEBI:18059
Lipid,CHEBI:18059,CHEBI:18059,CHEBI:18059
Ca2+,CHEBI:29108,,CHEBI:29108
Ca2+,CHEBI:29108,,CHEBI:29108
ryanodine,CHEBI:8925,CHEBI:8925,CHEBI:8925
ryanodine,CHEBI:8925,CHEBI:8925,CHEBI:8925
Ca2+,CHEBI:29108,,CHEBI:29108
Ca2+,CHEBI:29108,,CHEBI:29108
molecules,CHEBI:36357,,CHEBI:25367
molecule,CHEBI:36357,CHEBI:25367,CHEBI:25367
Ca2+,CHEBI:29108,,CHEBI:29108
Ca2+,CHEBI:29108,,CHEBI:29108
Ca2+,CHEBI:29108,,CHEBI:29108
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
sphingolipid,CHEBI:26739,CHEBI:26739,CHEBI:26739
lipid,CHEBI:18059,CHEBI:18059,CHEBI:18059
lipid,CHEBI:18059,CHEBI:18059,CHEBI:18059
lipid,CHEBI:18059,CHEBI:18059,CHEBI:18059
phospholipid,CHEBI:16247,CHEBI:16247,CHEBI:16247
SDS,CHEBI:8984,,CHEBI:8984
acrylamide,CHEBI:28619,CHEBI:28619,CHEBI:28619
Ca2+,CHEBI:29108,,CHEBI:29108
ionophore,CHEBI:24869,CHEBI:24869,CHEBI:24869
acetylcholine,CHEBI:15355,CHEBI:15355,CHEBI:15355
Ca2+,CHEBI:29108,,CHEBI:29108
ionophore,CHEBI:24869,CHEBI:24869,CHEBI:24869
acetylcholine,CHEBI:15355,CHEBI:15355,CHEBI:15355
iodixanol,CHEBI:31705,CHEBI:31705,CHEBI:31705
lipid,CHEBI:18059,CHEBI:18059,CHEBI:18059
lipid,CHEBI:18059,CHEBI:18059,CHEBI:18059
iodixanol,CHEBI:31705,CHEBI:31705,CHEBI:31705
lipid,CHEBI:18059,CHEBI:18059,CHEBI:18059
ionic,CHEBI:24870,CHEBI:24870,CHEBI:24870
sodium chloride,CHEBI:26710,CHEBI:26710,CHEBI:26710
ion,CHEBI:24870,CHEBI:24870,CHEBI:24870
NaCl,CHEBI:26710,,CHEBI:26710
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
NaCl,CHEBI:26710,,CHEBI:26710
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
NaCl,CHEBI:26710,,CHEBI:26710
NaCl,CHEBI:26710,,CHEBI:26710
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
ionic,CHEBI:24870,CHEBI:24870,CHEBI:24870
sodium chloride,CHEBI:26710,CHEBI:26710,CHEBI:26710
ion,CHEBI:24870,CHEBI:24870,CHEBI:24870
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
ristocetin,CHEBI:85129,CHEBI:85129,CHEBI:85129
cofactor,CHEBI:23357,CHEBI:23357,CHEBI:23357
ristocetin,CHEBI:85129,CHEBI:85129,CHEBI:85129
sphingolipids,CHEBI:26739,,CHEBI:26739
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
phospholipids,CHEBI:16247,,CHEBI:16247
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
Triton X-100,CHEBI:9750,CHEBI:9750,CHEBI:9750
sucrose,CHEBI:17992,CHEBI:17992,CHEBI:17992
surfactant,CHEBI:35195,CHEBI:35195,CHEBI:35195
surfactant,CHEBI:35195,CHEBI:35195,CHEBI:35195
phospholipid,CHEBI:16247,CHEBI:16247,CHEBI:16247
Ca2+,CHEBI:29108,,CHEBI:29108
Ca2+,CHEBI:29108,,CHEBI:29108
Ca2+,CHEBI:29108,,CHEBI:29108
Ca2+,CHEBI:29108,,CHEBI:29108
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
Ca2+,CHEBI:29108,,CHEBI:29108
ionic,CHEBI:24870,CHEBI:24870,CHEBI:24870
Ca2+,CHEBI:29108,,CHEBI:29108
Ca2+,CHEBI:29108,,CHEBI:29108
Ca2+,CHEBI:29108,,CHEBI:29108
Ca2+,CHEBI:29108,,CHEBI:29108
phospholipid,CHEBI:16247,CHEBI:16247,CHEBI:16247
Ca2+ ions,CHEBI:29108,,CHEBI:24870;CHEBI:29108
thrombin,CHEBI:9574,CHEBI:9574,CHEBI:9574
antigen,CHEBI:59132,CHEBI:59132,CHEBI:59132
Ca2+,CHEBI:29108,,CHEBI:29108
lipid,CHEBI:18059,CHEBI:18059,CHEBI:18059
Ca2+,CHEBI:29108,,CHEBI:29108
food,CHEBI:33290,CHEBI:33290,CHEBI:33290
anaesthetic chemicals,CHEBI:38867,CHEBI:38867,CHEBI:29202;CHEBI:30413;CHEBI:38867;CHEBI:59059
iodixanol,CHEBI:31705,CHEBI:31705,CHEBI:31705
Hepes,CHEBI:46756,CHEBI:46756,CHEBI:42334;CHEBI:46756
CaCl2,CHEBI:3312,,CHEBI:3312
sucrose,CHEBI:17992,CHEBI:17992,CHEBI:17992
iodixanol,CHEBI:31705,CHEBI:31705,CHEBI:31705
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
iodixanol,CHEBI:31705,CHEBI:31705,CHEBI:31705
Hepes,CHEBI:46756,CHEBI:46756,CHEBI:42334;CHEBI:46756
CaCl2,CHEBI:3312,,CHEBI:3312
sucrose,CHEBI:17992,CHEBI:17992,CHEBI:17992
iodixanol,CHEBI:31705,CHEBI:31705,CHEBI:31705
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
iodixanol,CHEBI:31705,CHEBI:31705,CHEBI:31705
mixture,CHEBI:60004,CHEBI:60004,CHEBI:60004
iodixanol,CHEBI:31705,CHEBI:31705,CHEBI:31705
Ca2+,CHEBI:29108,,CHEBI:29108
heparin,CHEBI:28304,CHEBI:28304,CHEBI:24496;CHEBI:28304
Hepes,CHEBI:46756,CHEBI:46756,CHEBI:42334;CHEBI:46756
NaCl,CHEBI:26710,,CHEBI:26710
Hepes,CHEBI:46756,CHEBI:46756,CHEBI:42334;CHEBI:46756
NaCl,CHEBI:26710,,CHEBI:26710
CaCl2,CHEBI:3312,,CHEBI:3312
Ca2+,CHEBI:29108,,CHEBI:29108
ionophore,CHEBI:24869,CHEBI:24869,CHEBI:24869
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
acetylcholine,CHEBI:15355,CHEBI:15355,CHEBI:15355
Acetylcholine,CHEBI:15355,CHEBI:15355,CHEBI:15355
Hepes,CHEBI:46756,CHEBI:46756,CHEBI:42334;CHEBI:46756
NaCl,CHEBI:26710,,CHEBI:26710
Triton X-100,CHEBI:9750,CHEBI:9750,CHEBI:9750
sodium phosphate,CHEBI:37586,CHEBI:37586,CHEBI:37583;CHEBI:37586
DTNB,CHEBI:86228,,CHEBI:86228
"5,5'-dithiobis-(2-nitrobenzoic acid",CHEBI:86228,CHEBI:25620,CHEBI:25620;CHEBI:29826
sodium phosphate,CHEBI:37586,CHEBI:37586,CHEBI:37583;CHEBI:37586
H2O,CHEBI:15377,,CHEBI:15377
Na2HPO4,CHEBI:34683,,CHEBI:34683
NaH2PO4,CHEBI:37585,,CHEBI:37585
NaCl,CHEBI:26710,,CHEBI:26710
NaCl,CHEBI:26710,,CHEBI:26710
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
Hepes,CHEBI:46756,CHEBI:46756,CHEBI:42334;CHEBI:46756
NaCl,CHEBI:26710,,CHEBI:26710
ristocetin,CHEBI:85129,CHEBI:85129,CHEBI:85129
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
reagent,CHEBI:33893,CHEBI:33893,CHEBI:33893
SDS,CHEBI:8984,,CHEBI:8984
inhibitors,CHEBI:35222,,CHEBI:35222
oxyanion,CHEBI:35406,CHEBI:22563,CHEBI:22563;CHEBI:29354
inhibitors,CHEBI:35222,,CHEBI:35222
inhibitors,CHEBI:35222,,CHEBI:35222
water,CHEBI:15377,CHEBI:15377,CHEBI:15377
inhibitor,CHEBI:35222,CHEBI:35222,CHEBI:35222
compound,CHEBI:36357,,CHEBI:17905;CHEBI:32900;CHEBI:7772
aldehyde,CHEBI:17478,CHEBI:17478,CHEBI:17478
inhibitor,CHEBI:35222,CHEBI:35222,CHEBI:35222
inhibitor,CHEBI:35222,CHEBI:35222,CHEBI:35222
inhibitor,CHEBI:35222,CHEBI:35222,CHEBI:35222
disulfide bond,CHEBI:29826,CHEBI:48343,CHEBI:48343
disulfide,CHEBI:29826,CHEBI:48343,CHEBI:48343
Side chains,CHEBI:50325,,CHEBI:17268;CHEBI:64366
inhibitor,CHEBI:35222,CHEBI:35222,CHEBI:35222
inhibitors,CHEBI:35222,,CHEBI:35222
side chain,CHEBI:50325,,CHEBI:64366
oxyanion,CHEBI:35406,CHEBI:22563,CHEBI:22563;CHEBI:29354
side chains,CHEBI:50325,,CHEBI:17268;CHEBI:64366
solvent,CHEBI:46787,CHEBI:46787,CHEBI:46787
inhibitor,CHEBI:35222,CHEBI:35222,CHEBI:35222
inhibitor,CHEBI:35222,CHEBI:35222,CHEBI:35222
side chains,CHEBI:50325,,CHEBI:17268;CHEBI:64366
inhibitor,CHEBI:35222,CHEBI:35222,CHEBI:35222
side chain,CHEBI:50325,,CHEBI:64366
side chains,CHEBI:50325,,CHEBI:17268;CHEBI:64366
solvent,CHEBI:46787,CHEBI:46787,CHEBI:46787
atoms,CHEBI:33250,,CHEBI:33250
side chain,CHEBI:50325,,CHEBI:64366
amine,CHEBI:46882,CHEBI:32952,CHEBI:32952
groups,CHEBI:24433,CHEBI:24433,CHEBI:24433
side chain,CHEBI:50325,,CHEBI:64366
inhibitors,CHEBI:35222,,CHEBI:35222
amino group,CHEBI:46882,,CHEBI:46882
side chain,CHEBI:50325,,CHEBI:64366
inhibitors,CHEBI:35222,,CHEBI:35222
aldehyde,CHEBI:17478,CHEBI:17478,CHEBI:17478
ketone,CHEBI:17087,CHEBI:17087,CHEBI:17087
inhibitors,CHEBI:35222,,CHEBI:35222
groups,CHEBI:24433,CHEBI:24433,CHEBI:24433
inhibitors,CHEBI:35222,,CHEBI:35222
group,CHEBI:24433,CHEBI:24433,CHEBI:24433
inhibitors,CHEBI:35222,,CHEBI:35222
atomic,CHEBI:33250,CHEBI:33250,CHEBI:33250;CHEBI:59059
atoms,CHEBI:33250,,CHEBI:33250
inhibitor,CHEBI:35222,CHEBI:35222,CHEBI:35222
inhibitor,CHEBI:35222,CHEBI:35222,CHEBI:35222
atomic,CHEBI:33250,CHEBI:33250,CHEBI:33250;CHEBI:59059
side chains,CHEBI:50325,,CHEBI:17268;CHEBI:64366
side chain,CHEBI:50325,,CHEBI:64366
atomic,CHEBI:33250,CHEBI:33250,CHEBI:33250;CHEBI:59059
salt,CHEBI:24866,CHEBI:24866,CHEBI:24866;CHEBI:26710
atomic,CHEBI:33250,CHEBI:33250,CHEBI:33250;CHEBI:59059
inhibitors,CHEBI:35222,,CHEBI:35222
glycoprotein,CHEBI:17089,CHEBI:17089,CHEBI:17089
agarose,CHEBI:2511,CHEBI:2511,CHEBI:2511
dye,CHEBI:37958,CHEBI:37958,CHEBI:37958
fluorescent probe,CHEBI:39442,CHEBI:39442,CHEBI:39442
digoxigenin,CHEBI:42098,CHEBI:42098,CHEBI:145797;CHEBI:42098
formamide,CHEBI:16397,CHEBI:16397,CHEBI:16397
digoxigenin,CHEBI:42098,CHEBI:42098,CHEBI:145797;CHEBI:42098
ion,CHEBI:24870,CHEBI:24870,CHEBI:24870
messages,CHEBI:33695,CHEBI:39010,CHEBI:138438;CHEBI:39005;CHEBI:39010;CHEBI:84123
message,CHEBI:33695,CHEBI:39010,CHEBI:138438;CHEBI:39005;CHEBI:39010;CHEBI:84123
antigenic,CHEBI:59132,CHEBI:59132,CHEBI:59132
ion,CHEBI:24870,CHEBI:24870,CHEBI:24870
ion,CHEBI:24870,CHEBI:24870,CHEBI:24870
agarose,CHEBI:2511,CHEBI:2511,CHEBI:2511
32P,CHEBI:37972,,
SDS,CHEBI:8984,,CHEBI:8984
SDS,CHEBI:8984,,CHEBI:8984
CO2,CHEBI:16526,,CHEBI:16526
CO2,CHEBI:16526,,CHEBI:16526
cytosine arabinoside,CHEBI:28680,,CHEBI:28680
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
Triton X-100,CHEBI:9750,CHEBI:9750,CHEBI:9750
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
Alex 488,CHEBI:52661,,
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
glycerol,CHEBI:17754,CHEBI:17754,CHEBI:17754
pigmentary,CHEBI:26130,CHEBI:39054,CHEBI:39054;CHEBI:44557
pigment,CHEBI:26130,,
pigment,CHEBI:26130,,
pigment,CHEBI:26130,,
pigmentary,CHEBI:26130,CHEBI:39054,CHEBI:39054;CHEBI:44557
pigment,CHEBI:26130,,
pigment,CHEBI:26130,,
pigment,CHEBI:26130,,
pigment,CHEBI:26130,,
pigment,CHEBI:26130,,
eumelanin,CHEBI:24009,CHEBI:24009,CHEBI:24009
pheomelanin,CHEBI:81393,CHEBI:89634,CHEBI:17295;CHEBI:25179;CHEBI:28044;CHEBI:29997;CHEBI:89634
pigment,CHEBI:26130,,
pigment,CHEBI:26130,,
pigment,CHEBI:26130,,
pigment,CHEBI:26130,,
pigment,CHEBI:26130,,
pigment,CHEBI:26130,,
pheomelanin,CHEBI:81393,CHEBI:89634,CHEBI:17295;CHEBI:25179;CHEBI:28044;CHEBI:29997;CHEBI:89634
pigment,CHEBI:26130,,
pigment,CHEBI:26130,,
melanin,CHEBI:25179,CHEBI:89634,CHEBI:25179;CHEBI:89634
DOPA,CHEBI:49168,CHEBI:49168,CHEBI:49168;CHEBI:60427
DOPA,CHEBI:49168,CHEBI:49168,CHEBI:49168;CHEBI:60427
melanin,CHEBI:25179,CHEBI:89634,CHEBI:25179;CHEBI:89634
Melanin,CHEBI:25179,CHEBI:89634,CHEBI:25179;CHEBI:89634
pigment,CHEBI:26130,,
pigment,CHEBI:26130,,
pigment,CHEBI:26130,,
melanin,CHEBI:25179,CHEBI:89634,CHEBI:25179;CHEBI:89634
pigment,CHEBI:26130,,
pigment,CHEBI:26130,,
eumelanic,CHEBI:24009,,CHEBI:10275
pigment,CHEBI:26130,,
pigment,CHEBI:26130,,
eumelanin,CHEBI:24009,CHEBI:24009,CHEBI:24009
pheomelanin,CHEBI:81393,CHEBI:89634,CHEBI:17295;CHEBI:25179;CHEBI:28044;CHEBI:29997;CHEBI:89634
mannose-6-phosphate,CHEBI:17369,CHEBI:26020;CHEBI:37684,CHEBI:18367;CHEBI:26020;CHEBI:26078;CHEBI:35780;CHEBI:37684;CHEBI:43474
pigmentary,CHEBI:26130,CHEBI:39054,CHEBI:39054;CHEBI:44557
pigment,CHEBI:26130,,
pigment,CHEBI:26130,,
Pigment,CHEBI:26130,,
X-Gal,CHEBI:75055,,CHEBI:75055
X-Gal,CHEBI:75055,,CHEBI:75055
pheomelanin,CHEBI:81393,CHEBI:89634,CHEBI:17295;CHEBI:25179;CHEBI:28044;CHEBI:29997;CHEBI:89634
eumelanin,CHEBI:24009,CHEBI:24009,CHEBI:24009
pigmentary,CHEBI:26130,CHEBI:39054,CHEBI:39054;CHEBI:44557
pigment,CHEBI:26130,,
pigment,CHEBI:26130,,
pigment,CHEBI:26130,,
pigment,CHEBI:26130,,
pigment,CHEBI:26130,,
pigment,CHEBI:26130,,
pigment,CHEBI:26130,,
pigment,CHEBI:26130,,
pigment,CHEBI:26130,,
pigment,CHEBI:26130,,
pigmentary,CHEBI:26130,CHEBI:39054,CHEBI:39054;CHEBI:44557
sodium bicarbonate,CHEBI:32139,,CHEBI:32139
hematoxylin,CHEBI:51686,,CHEBI:51686
DOPA,CHEBI:49168,CHEBI:49168,CHEBI:49168;CHEBI:60427
sodium bromide,CHEBI:63004,CHEBI:63004,CHEBI:63004
L-DOPA,CHEBI:15765,CHEBI:15765,CHEBI:15765;CHEBI:57504
sodium phosphate,CHEBI:37586,CHEBI:37586,CHEBI:37583;CHEBI:37586
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
fixative,CHEBI:50913,CHEBI:50913,CHEBI:50913
hydroxysteroid,CHEBI:35350,,CHEBI:35350
hydroacid,CHEBI:24669,CHEBI:37527,CHEBI:37527
digoxigenin,CHEBI:42098,CHEBI:42098,CHEBI:145797;CHEBI:42098
solution,CHEBI:75958,CHEBI:75958,CHEBI:75958
mannose-6-phosphate,CHEBI:17369,CHEBI:26020;CHEBI:37684,CHEBI:18367;CHEBI:26020;CHEBI:26078;CHEBI:35780;CHEBI:37684;CHEBI:43474
melanin,CHEBI:25179,CHEBI:89634,CHEBI:25179;CHEBI:89634
DOPA,CHEBI:49168,CHEBI:49168,CHEBI:49168;CHEBI:60427
DOPA,CHEBI:49168,CHEBI:49168,CHEBI:49168;CHEBI:60427
X-Gal,CHEBI:75055,,CHEBI:75055
X-Gal,CHEBI:75055,,CHEBI:75055
reagents,CHEBI:33893,,CHEBI:33893
squalene,CHEBI:15440,CHEBI:15440,CHEBI:15440
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
surfactant,CHEBI:35195,CHEBI:35195,CHEBI:35195
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
sterol,CHEBI:15889,CHEBI:15889,CHEBI:15889
Cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
sterols,CHEBI:15889,,CHEBI:15889
phytosterols,CHEBI:26125,CHEBI:26125,CHEBI:26125
ergosterol,CHEBI:16933,CHEBI:16933,CHEBI:16933
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
sterols,CHEBI:15889,,CHEBI:15889
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
7-dehydrocholesterol,CHEBI:17759,,CHEBI:17759
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
squalene,CHEBI:15440,CHEBI:15440,CHEBI:15440
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
7-dehydrocholesterol,CHEBI:17759,,CHEBI:17759
7DHC,CHEBI:17759,,
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
inhibitors,CHEBI:35222,,CHEBI:35222
sterol,CHEBI:15889,CHEBI:15889,CHEBI:15889
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
H,CHEBI:51686,,
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
BrdU,CHEBI:472552,,CHEBI:472552
BrdU,CHEBI:472552,,CHEBI:472552
BrdU,CHEBI:472552,,CHEBI:472552
BrdU,CHEBI:472552,,CHEBI:472552
BrdU,CHEBI:472552,,CHEBI:472552
BrdU,CHEBI:472552,,CHEBI:472552
BrdU,CHEBI:472552,,CHEBI:472552
Sterol,CHEBI:15889,CHEBI:15889,CHEBI:15889
7-DHC,CHEBI:17759,,
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
sterols,CHEBI:15889,,CHEBI:15889
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
cholesterol,CHEBI:16113,CHEBI:16113,CHEBI:16113
7-DHC,CHEBI:17759,,
sterols,CHEBI:15889,,CHEBI:15889
Sterol,CHEBI:15889,CHEBI:15889,CHEBI:15889
